a	63977
in	19051
the	18453
on	10804
dog	10284
is	9353
and	8877
with	7784
man	7292
of	6739
two	5660
boy	4256
girl	4190
woman	4059
white	3966
black	3853
are	3525
to	3192
wearing	3057
at	2912
people	2905
water	2869
child	2711
red	2708
young	2641
brown	2581
an	2435
his	2355
blue	2288
shirt	2097
running	2075
through	2035
playing	2020
while	1971
ball	1884
down	1849
standing	1792
little	1776
grass	1625
snow	1600
person	1543
jumping	1474
over	1423
three	1395
stand	1394
jump	1387
front	1387
sitting	1370
up	1343
it	1326
holding	1323
field	1294
run	1293
play	1281
small	1279
by	1248
large	1239
green	1236
group	1227
one	1225
yellow	1222
air	1212
her	1176
walking	1165
men	1120
into	1066
beach	1053
mouth	1027
near	1025
player	1019
rock	1016
street	976
bike	973
another	958
for	951
from	920
riding	911
walk	884
outside	792
hat	787
other	776
mountain	776
look	774
off	768
out	767
next	751
orange	748
looking	748
jacket	747
pink	741
ride	715
camera	712
their	699
pool	691
tree	688
around	648
behind	633
toy	630
some	629
hand	606
background	591
dirt	591
soccer	584
building	582
sits	577
dressed	571
wall	567
ha	562
face	561
hold	560
crowd	537
stick	530
along	529
kid	528
watch	518
top	516
climbing	509
park	508
swing	502
four	501
car	494
catch	491
trick	487
football	484
picture	483
across	476
hill	475
grassy	474
bicycle	471
sand	470
skateboard	468
smiling	464
ocean	464
wave	459
head	458
race	455
short	455
back	455
swimming	446
doing	435
carrying	434
baby	434
each	431
dress	431
tennis	429
snowy	421
together	414
hair	413
him	405
road	399
area	399
arm	398
helmet	398
that	397
slide	395
tan	395
bench	394
uniform	385
basketball	381
game	375
covered	370
sidewalk	369
sit	361
ground	361
pose	360
suit	352
track	349
side	346
something	346
frisbee	345
fence	344
being	338
lake	333
ramp	328
boat	326
path	325
horse	325
skateboarder	321
city	319
several	317
long	315
purple	312
there	304
coat	301
smile	297
baseball	296
high	294
rope	294
sign	294
climb	292
posing	291
guy	289
wood	286
wooden	284
big	279
table	278
motorcycle	277
lady	273
sunglass	273
glass	272
dark	269
them	261
pant	260
couple	256
under	255
grey	253
take	251
jean	251
watching	251
team	247
towards	247
beside	247
rocky	245
bird	245
river	238
leap	237
snowboarder	234
doe	233
above	228
adult	228
racing	226
older	226
colored	225
skier	225
outfit	223
ice	222
striped	220
colorful	218
rider	217
bag	217
yard	217
who	216
board	215
get	214
surfer	213
flower	213
onto	212
light	212
swim	212
wet	211
he	210
cap	210
collar	210
pole	209
chair	206
open	205
costume	205
taking	204
haired	204
against	203
asian	203
cliff	202
blonde	201
playground	200
performing	196
body	196
hockey	195
ski	194
blond	194
leg	193
fountain	193
laying	189
chasing	187
many	186
after	185
step	184
backpack	183
toddler	182
brick	178
surrounded	178
flag	178
guitar	177
inside	175
mid	175
outdoors	174
during	174
flying	174
old	174
biker	173
shore	173
others	172
edge	171
make	170
away	170
drink	169
five	167
line	167
middle	165
hanging	165
wear	164
trying	164
floor	164
night	164
very	163
sky	162
someone	162
forest	162
bed	160
object	160
bar	158
gray	158
talking	157
nearby	156
making	155
leaf	155
puppy	155
trail	152
about	152
whilst	152
t	151
climber	150
window	150
house	150
going	149
go	149
past	149
leash	149
skate	148
carry	148
surf	147
toward	147
tall	146
swinging	146
dancing	146
try	145
eating	144
this	142
kick	142
fly	142
bridge	142
animal	142
phone	142
jersey	140
all	140
leaping	139
chase	139
day	138
stone	138
outdoor	137
room	135
fighting	134
course	134
clothes	134
obstacle	134
shallow	134
lot	133
set	133
sweater	133
bubble	133
foot	132
plastic	131
skiing	131
clothing	131
male	130
splashing	130
throw	127
sled	127
ready	126
railing	125
between	125
dance	125
tire	124
bright	124
stair	124
store	124
trunk	124
sliding	123
scarf	123
getting	123
fire	122
sun	122
greyhound	122
number	121
surfboard	121
waiting	120
they	120
vest	120
hit	119
female	119
concrete	119
bathing	119
eye	118
trampoline	118
tongue	118
train	118
gear	117
mud	117
rail	117
lawn	117
winter	117
flip	116
splash	115
hiker	115
metal	114
stream	112
tent	112
skateboarding	111
ear	111
sandy	110
golden	110
throwing	109
catching	109
pulling	109
distance	109
upside	109
shoe	108
fishing	107
couch	106
shirtless	104
like	104
skirt	103
kayak	103
cross	102
nose	102
photo	102
cart	102
stage	101
wooded	101
truck	101
vehicle	100
puddle	100
american	100
drinking	100
busy	100
lying	99
overlooking	99
surfing	98
cyclist	98
umbrella	98
performs	97
right	96
stunt	96
leaning	96
mask	96
reading	96
bat	95
pond	95
laughing	95
hurdle	95
close	94
dock	94
shopping	94
huge	93
she	93
food	93
harness	92
wheel	92
sport	92
hoop	92
talk	92
snowboard	91
turn	91
skating	91
hang	91
life	91
left	90
deep	89
coming	89
show	89
paper	89
book	89
no	88
bicyclist	88
equipment	88
view	88
sunset	87
bull	87
waterfall	87
family	87
lean	86
goal	86
fall	86
wait	86
bus	86
restaurant	86
or	85
cell	85
both	84
canoe	84
biting	84
structure	83
lone	83
slope	83
elderly	83
setting	83
shoulder	83
bottle	83
cigarette	83
ring	82
muddy	82
court	82
falling	82
raft	82
fight	81
bikini	81
dry	80
lay	80
pile	79
sweatshirt	79
be	78
ledge	78
crowded	78
bucket	78
cow	77
tank	77
bmx	77
six	76
german	76
driving	75
have	75
airborne	75
kicking	75
cement	75
cat	75
tube	75
door	75
diving	74
paddle	74
box	74
paint	74
band	74
inflatable	74
attempt	73
parking	73
graffiti	73
subway	73
point	73
goggles	73
piece	73
sprinkler	73
teenage	72
balloon	72
blanket	72
motorcyclist	71
art	71
blow	71
parade	71
shaking	71
statue	71
fish	70
fallen	70
seat	70
scooter	70
microphone	70
boot	69
roller	69
log	69
block	68
pull	68
swimsuit	68
gathered	68
full	67
low	67
silver	67
smoking	67
duck	67
finger	67
leather	67
pushing	67
