"num_item_id","definition","type","category","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1,"baa baa","word","sounds",0.33,0.29,0.36,0.42,0.47,0.52,0.51,0.58,0.73,0.73,0.75,0.84,0.92,0.86
2,"choo choo","word","sounds",0.07,0.14,0.12,0.22,0.27,0.39,0.44,0.49,0.63,0.72,0.71,0.83,0.85,0.83
3,"cockadoodledoo","word","sounds",0,0,0.02,0.06,0.05,0.09,0.11,0.1,0.15,0.23,0.25,0.29,0.41,0.39
4,"grr","word","sounds",0.15,0.29,0.3,0.32,0.41,0.45,0.46,0.49,0.65,0.67,0.75,0.71,0.82,0.75
5,"meow","word","sounds",0.07,0.14,0.16,0.19,0.31,0.38,0.43,0.6,0.64,0.68,0.89,0.79,0.89,0.89
6,"moo","word","sounds",0.07,0.29,0.3,0.34,0.42,0.53,0.58,0.68,0.76,0.77,0.82,0.9,0.94,0.94
7,"ouch","word","sounds",0.04,0.29,0.2,0.11,0.18,0.24,0.3,0.46,0.54,0.57,0.71,0.66,0.85,0.75
8,"quack","word","sounds",0.11,0,0.25,0.35,0.45,0.45,0.56,0.61,0.77,0.79,0.75,0.84,0.93,0.83
9,"uh oh","word","sounds",0.11,0.29,0.42,0.5,0.57,0.65,0.72,0.8,0.9,0.91,0.93,0.89,0.94,0.94
10,"vroom","word","sounds",0.11,0,0.14,0.19,0.35,0.31,0.33,0.47,0.56,0.51,0.61,0.54,0.72,0.67
11,"woof","word","sounds",0.11,0.14,0.27,0.39,0.45,0.48,0.53,0.69,0.75,0.73,0.86,0.82,0.87,0.89
12,"yum","word","sounds",0.19,0,0.17,0.32,0.37,0.43,0.43,0.54,0.64,0.61,0.64,0.72,0.74,0.72
13,"animal","word","animals",0,0,0,0.01,0.03,0.05,0.06,0.11,0.19,0.27,0.36,0.42,0.44,0.53
14,"bear","word","animals",0,0,0.05,0.07,0.15,0.2,0.25,0.38,0.47,0.52,0.57,0.65,0.72,0.69
15,"bee","word","animals",0,0,0.06,0.05,0.17,0.21,0.25,0.39,0.54,0.56,0.71,0.72,0.78,0.78
16,"bird","word","animals",0.04,0,0.12,0.14,0.24,0.27,0.29,0.46,0.63,0.65,0.68,0.74,0.84,0.83
17,"bunny / rabbit","word","animals",0,0,0.02,0.06,0.17,0.15,0.2,0.31,0.44,0.53,0.57,0.71,0.77,0.69
18,"butterfly","word","animals",0,0,0,0.03,0.04,0.08,0.08,0.17,0.25,0.33,0.39,0.55,0.71,0.67
19,"cat","word","animals",0.15,0.14,0.23,0.31,0.32,0.37,0.5,0.66,0.74,0.77,0.75,0.83,0.92,0.94
20,"chicken","word","animals",0,0,0.02,0.02,0.06,0.08,0.12,0.23,0.33,0.4,0.43,0.6,0.7,0.67
21,"cow","word","animals",0,0,0.06,0.06,0.12,0.14,0.19,0.39,0.5,0.59,0.57,0.71,0.79,0.86
22,"deer","word","animals",0,0,0.02,0,0,0.03,0.04,0.05,0.08,0.11,0.29,0.2,0.21,0.39
23,"dog","word","animals",0.22,0.29,0.23,0.28,0.37,0.48,0.52,0.68,0.76,0.83,0.79,0.82,0.93,0.89
