C           M    episodes          sd      active     uniform  fam_context    reps 
4.000000   18.000000   46.500000    3.036811    1.000000    1.000000  0.000000     100.000000 
4.00000   100.00000   207.71000     2.82948     1.00000     1.00000  0.00000   100.00000 
4.000000  200.000000  406.730000    2.891489    1.000000    1.000000  0.000000  100.000000 
4.000000  500.000000 1003.140000    2.964504    1.000000    1.000000 0.000000  100.000000 
4.000000 1000.000000 1997.160000    3.338541    1.000000    1.000000 0.000000  100.000000 
10.00000    18.00000   109.55000     8.15305     1.00000     1.00000  0.00000   100.00000 
10.00000   100.00000   266.12000     6.14518     1.00000     1.00000  0.00000   100.00000 
10.000000  200.000000  470.280000    6.979161    1.000000    1.000000 0.000000  100.000000 
10.000000  500.000000 1071.180000    8.217228    1.000000    1.000000 0.000000  100.000000 
10.000000 1000.000000 2066.740000    8.721991    1.000000    1.000000 0.000000  100.000000 
50.00000   100.00000   787.92000    20.39295     1.00000     1.00000 0.00000   100.00000 
50.00000   200.00000   939.55000    12.16667     1.00000     1.00000 0.00000   100.00000 
50.00000   500.00000  1706.06000    14.27212     1.00000     1.00000 0.00000   100.00000 
50.0000   1000.0000   3025.5500     13.6577      1.0000      1.0000 0.0000    100.0000 
100.00000   200.00000  1780.70000    27.97672     1.00000     1.00000 0.00000   100.00000 
100.00000   500.00000  2346.31000    20.33591     1.00000     1.00000  0.00000   100.00000 
100.00000  1000.00000  3714.25000    20.62722     1.00000     1.00000  0.00000   100.00000 
200.0000    500.0000   3939.6300     34.2149      1.0000      1.0000  0.0000    100.0000 
200.00000  1000.00000  5131.30000    29.41603     1.00000     1.00000  0.00000   100.00000 
400.000     500.000   15408.550     116.638       1.000       1.000  0.000     100.000 
400.00000  1000.00000  8639.23000    42.58535     1.00000     1.00000 0.00000   100.00000 
800.0000   1000.0000  33962.6500    177.9667      1.0000      1.0000  0.0000    100.0000 
4.00000    18.00000    44.70000     2.54058     1.00000     1.00000 1.00000   100.00000 
4.0000    100.0000    207.6800      2.7593      1.0000      1.0000 1.0000    100.0000 
4.000000  200.000000  406.490000    3.301347    1.000000    1.000000 1.000000  100.000000 
4.000000  500.000000 1002.950000    2.875796    1.000000    1.000000  1.000000  100.000000 
4.000000 1000.000000 1997.690000    3.365586    1.000000    1.000000  1.000000  100.000000 
10.000000   18.000000   99.980000    7.423659    1.000000    1.000000  1.000000  100.000000 
10.000000  100.000000  262.640000    6.700701    1.000000    1.000000  1.000000  100.000000 
10.000000  200.000000  467.660000    6.688177    1.000000    1.000000  1.000000  100.000000 
