C         M  episodes        sd    active   uniform   fam_context      reps 
4.000   18.000  553.430  302.141    0.000    0.000    0.000  100.000 
4.00   100.00  5669.50  2343.13     0.00     0.00     0.00   100.00 
4.00   500.00 43140.75 10098.77     0.00     0.00     0.00   100.00 
4.00  1000.00 90884.23 16179.22     0.00     0.00     0.00   100.00 
4.00  10000.00 988366.99  56335.01      0.00      0.00      0.00    100.00 
10.000   18.000 1754.250 1027.204    0.000    0.000    0.000  100.000 
10.000  100.000 8160.260 3007.836    0.000    0.000    0.000  100.000 
10.00   500.00 48630.25 12732.48     0.00     0.00     0.00   100.00 
10.00  1000.00 98461.96 18088.06     0.00     0.00     0.00   100.00 
10.00  10000.00 996216.05  60172.78      0.00      0.00      0.00    100.00 
50.00   100.00 36334.96 10081.37     0.00     0.00     0.00   100.00 
50.00   500.00 78579.56 16042.22     0.00     0.00     0.00   100.00 
50.0   1000.0 142708.5  23313.8      0.0      0.0      0.0    100.0 
50.00   10000.00 1138658.91   70365.42       0.00       0.00       0.00     100.00 
100.00    500.00 117859.90  21664.29      0.00      0.00      0.00    100.00 
100.00   1000.00 191674.25  30902.67      0.00      0.00      0.00    100.00 
100.0   10000.0 1358752.6   72805.1       0.0       0.0       0.0     100.0 
500.0    1000.0 1033538.7  113546.6       0.0       0.0       0.0     100.0 
500.0   10000.0 2025862.9  116264.5       0.0       0.0       0.0     100.0 
1000.0   10000.0 2696446.7  144014.5       0.0       0.0       0.0     100.0 
4.00000  18.00000 113.24000  25.23591   0.00000   1.00000   1.00000 100.00000 
4.00000 100.00000 643.80000  95.81305   0.00000   1.00000   1.00000 100.00000 
4.0000  500.0000 3276.7900  225.9611    0.0000    1.0000    1.0000  100.0000 
4.0000 1000.0000 6637.3500  312.5357    0.0000    1.0000    1.0000  100.0000 
