C           M       episodes          sd      active     uniform   fam_context        reps
500.00000  1000.000  11263.3400    63.43902     1.0000  1.0000    0.0000   100.00000
800.0000   1000.000  33975.3500    164.4584     1.0000	 1.0000    0.0000    100.0000
500.0000   1000.000  22079.1600    717.6704     0.0000	 1.0000    0.0000    100.0000
800.000    1000.000   57051.360     1655.599    0.000	  1.000      0.000     100.000
500.00000  1000.00000 10944.23000   49.49051   1.0000   1.0000    1.00000   100.00000
800.0000   1000.0000  32100.5800    143.4875      1.0000	 1.0000     1.0000    100.0000
500.0000   1000.0000  19989.1300    548.0235      0.0000	 1.0000     1.0000    100.0000
800.0000   1000.0000  47227.5900    935.8909      0.0000	 1.0000     1.0000    100.0000
500.0000   1000.0000  22831.8000    139.1346      1.0000	 0.0000     0.0000    100.0000
800.000    1000.000  591919.820    4910.523       1.000	   0.000      0.000     100.000
500.0	     1000.0   1067445.1     126707.9         0.0      0.0        0.0	   100.0
800        1000     26332772      2647774          0      0         0         100
500.0000   1000.0   15805.4000    134.2402      1.0000	 0.0000     1.0000    100.0000
500.00000  2000.00000 12759.90000   47.68383    1.0000  1.00000    0.00000   100.00000
1000.00000  2000.00000 24540.51000  90.30135    1.0000  1.00000    0.00000   100.00000
1500.0000   2000.0000  57747.8200   193.7311    1.0000	  1.0000     0.0000    100.0000
500.0000   2000.0000  28619.9600   777.0397     0.0000	 1.0000     0.0000    100.0000
1000.0000  2000.0000  46787.5500   988.1517     0.0000	 1.0000     0.0000    100.0000
1500.000   2000.000   96580.360    1692.122     0.000	 1.000      0.000     100.000
500.00000  2000.0000  12617.30000   41.46058     1.000   1.000    1.00000   100.00000
1000.0000  2000.0000  23947.77000   80.27136     1.0000  1.0000    1.00000   100.00000
1500.0000  2000.0000  55224.1700    171.1772     1.0000	 1.0000     1.0000    100.0000
500.0000   2000.0000  27031.7500    719.3233     0.0000	 1.0000     1.0000    100.0000
1000.0000   2000.0000  42706.2500    879.8434    0.0000	 1.0000     1.0000    100.0000
1500.000    2000.000   82776.710    1276.459     0.000	  1.000     1.000     100.000
500.00000  2000.00000 16713.94000   66.87993     1.00000   0.000    0.000     100.00
1000.000    2000.000   50877.340    253.558      1.000	   0.000    0.000     100.000
1500.000    2000.000  498056.850    2679.257     1.000	   0.000    0.000     100.000 
500.00    2000.00   796920.10    75652.99        0.00      0.00     0.00	    100.00
1000.0	  2000.0   2466333.6    187411.5         0.0       0.0      0.0	      100.0
500.00000  2000.00000 15517.45000    65.31236    1.0000    0.000    1.000     100.000
1000.000    2000.000   34884.490     216.028     1.000	  0.000     1.000     100.000
1500.000    2000.000   99934.700    1193.221     1.000	  0.000     1.000     100.000
500.00     2000.00   714627.88    73414.27       0.00     0.00      1.00	    100.00
