C           M    episodes          sd      active     uniform fam_context        reps 
4.0000     18.0000    442.9700    202.1236      0.0000      0.0000      1.0000    100.0000 
10.00       18.00     1230.84      595.58        0.00        0.00        1.00      100.00 
4.000     100.000    5438.400    1990.806       0.000       0.000       1.000     100.000 
10.000     100.000    7610.690    3331.778       0.000       0.000       1.000     100.000 
20.000     100.000    9842.150    3893.806       0.000       0.000       1.000     100.000 
50.000     100.000   23802.740    6593.096       0.000       0.000       1.000     100.000 
75.00      100.00    86143.23    29755.66        0.00        0.00        1.00      100.00 
4.000     200.000   13674.340    4091.535       0.000       0.000       1.000     100.000 
10.000     200.000   16279.130    5316.381       0.000       0.000       1.000     100.000 
20.000     200.000   20519.650    6344.589       0.000       0.000       1.000     100.000 
50.000     200.000   35106.060    9239.236       0.000       0.000       1.000     100.000 
75.00      200.00    49529.77    12315.39        0.00        0.00        1.00      100.00 
100.00      200.00    74893.07    19197.45        0.00        0.00        1.00      100.00 
150.00      200.00   293901.57    79990.39        0.00        0.00        1.00      100.00 
4.000     500.000   41636.400    9802.829       0.000       0.000       1.000     100.000 
10.00      500.00    47509.42    11143.58        0.00        0.00        1.00      100.00 
20.00      500.00    55639.07    14008.98        0.00        0.00        1.00      100.00 
50.00      500.00    77194.49    19611.07        0.00        0.00        1.00      100.00 
75.00      500.00    91587.97    18262.90        0.00        0.00        1.00      100.00 
100.00      500.00   112265.92    25047.96       0.00        0.00        1.00      100.00 
150.00      500.00   147647.25    30838.17       0.00        0.00        1.00      100.00 
200.00      500.00   197031.17    34330.52       0.00        0.00        1.00      100.00 
4.00     1000.00    91620.33    16838.61         0.00        0.00        1.00      100.00 
10.00     1000.00    94523.41    17853.71        0.00        0.00        1.00      100.00 
20.00     1000.00   107993.25    18830.61        0.00        0.00        1.00      100.00 
50.00     1000.00   145605.45    28418.78        0.00        0.00        1.00      100.00 
75.00     1000.00   156173.50    27852.03        0.00        0.00        1.00      100.00 
100.00     1000.00   178588.67    27504.43        0.00        0.00        1.00      100.00 
150.00     1000.00   216340.59    31782.46        0.00        0.00        1.00      100.00 
200.00     1000.00   265326.56    41369.93        0.00        0.00        1.00      100.00 
700.0	     1000.00   1782180.9    219762.3        0.00        0.00        1.00	    100.00
300.00     1000.00   362047.01    49866.02        0.00        0.00        1.00      100.00 
100.00     2000.00   323230.66    37172.13        0.00        0.00        1.00	    100.00
500.00     1000.00   704781.86    79573.68        0.00        0.00        1.00      100.00
