scene,rater1,rater2,rater3,rater4,rater5
abbey                        ,4,2,2,1,4
access_road                  ,3,3,2,1,4
acropolis                    ,3,4,2,3,4
air_base                     ,2,2,1,2,4
aircraft_carrier_object      ,1,1,1,2,5
airfield                     ,1,1,2,2,5
airlock                      ,1,2,1,1,2
airplane_cabin               ,5,3,2,5,4
airport/airport              ,5,5,4,5,2
airport/entrance             ,5,5,4,5,2
airport_terminal             ,5,5,4,5,5
airport_ticket_counter       ,4,4,3,3,5
alcove                       ,3,4,3,3,3
alley                        ,2,4,3,2,4
amphitheater                 ,4,4,3,3,4
amphitheater_indoor          ,4,4,3,3,4
amusement_arcade             ,5,5,5,5,5
amusement_park               ,5,5,5,5,5
anechoic_chamber             ,3,2,2,2,2
apartment_building/outdoor   ,5,4,4,4,4
apse/indoor                  ,3,2,2,2,2
apse/outdoor                 ,3,2,2,2,2
aquarium                     ,5,5,5,5,5
aquatic_theater              ,5,5,5,5,5
aqueduct                     ,3,3,2,1,3
arbor                        ,5,3,2,3,3
arcade                       ,5,4,4,5,4
arch                         ,3,4,3,4,4
archaelogical_excavation     ,3,2,2,2,2
archipelago                  ,3,3,3,3,3
archive                      ,3,2,3,2,2
arena/basketball             ,5,4,4,4,4
arena/football               ,5,4,4,3,4
arena/hockey                 ,4,4,4,3,4
arena/performance            ,5,4,4,3,4
arena/rodeo                  ,2,4,3,3,4
arena/soccer                 ,5,4,4,4,4
armory                       ,1,2,2,1,2
army_base                    ,1,2,2,2,2
arrival_gate/indoor          ,3,3,3,2,3
arrival_gate/outdoor         ,3,3,3,2,3
art_gallery                  ,5,4,2,3,4
art_school                   ,5,3,3,4,3
art_studio                   ,5,2,2,3,2
artists_loft                 ,3,3,2,2,3
artists_loft/questionable    ,3,3,2,1,3
assembly_hall                ,4,3,3,5,3
assembly_line                ,1,2,1,1,2
assembly_plant               ,1,2,1,1,2
athletic_field/indoor        ,5,4,4,5,4
athletic_field/outdoor       ,5,4,4,5,4
atrium/home                  ,4,4,3,4,4
atrium/public                ,4,4,3,4,4
attic                        ,4,3,2,3,3
auditorium                   ,5,3,3,4,3
auto_factory                 ,1,2,2,1,2
auto_mechanics/indoor        ,1,2,1,1,2
auto_mechanics/outdoor       ,1,2,1,1,2
auto_racing_paddock          ,2,2,1,2,2
auto_showroom                ,3,3,2,2,3
awning_deck                  ,4,3,2,4,3
back_entrance                ,3,3,2,4,3
back_porch                   ,5,3,3,4,3
backdrop                     ,3,2,2,3,2
backroom                     ,3,2,3,2,2
backstage                    ,3,2,3,2,2
backstage_outdoor            ,3,2,2,2,2
backstairs                   ,3,3,2,3,3
backstairs_indoor            ,3,3,2,3,3
backwoods                    ,4,1,3,2,2
badlands                     ,2,2,2,1,3
badminton_court/indoor       ,5,4,3,2,4
badminton_court/outdoor      ,5,4,3,2,2
baggage_claim                ,5,4,3,3,1
bakery/kitchen               ,3,4,3,2,1
bakery/shop                  ,5,4,3,3,2
balcony/exterior             ,3,3,3,3,3
balcony/interior             ,3,3,3,3,5
ball_pit                     ,5,5,5,5,5
ballet                       ,4,3,3,3,5
ballroom                     ,3,2,2,2,4
balustrade                   ,3,3,2,3,4
bamboo_forest                ,4,2,2,3,4
bank/indoor                  ,4,2,2,2,4
bank/outdoor                 ,4,2,2,2,4
bank_vault                   ,1,2,1,1,5
banquet_hall                 ,3,2,2,2,5
baptistry/indoor             ,4,2,2,3,2
baptistry/outdoor            ,4,2,2,3,4
bar                          ,2,1,1,1,2
barbeque                     ,4,4,4,4,2
barbershop                   ,4,2,3,3,5
barn                         ,4,2,3,3,5
barndoor                     ,3,2,3,3,3
barnyard                     ,4,2,3,3,3
barrack                      ,1,2,1,1,4
baseball_field               ,5,4,4,4,4
basement                     ,4,3,3,4,2
basilica                     ,4,3,3,2,3
basin_outdoor                ,3,3,3,2,2
basketball_court/indoor      ,5,4,4,4,4
basketball_court/outdoor     ,5,4,4,4,4
bath_indoor                  ,5,3,3,5,4
bath_outdoor                 ,4,3,3,5,4
bathhouse                    ,4,2,3,1,4
bathhouse_outdoor            ,4,2,3,1,4
bathroom                     ,5,3,3,5,2
bathyscape                   ,3,1,2,1,2
batters_box                  ,3,2,2,3,3
batting_cage/indoor          ,3,2,3,4,3
batting_cage/outdoor         ,3,2,3,4,4
battlefield                  ,1,1,1,1,3
battlement                   ,2,2,1,2,2
bay                          ,4,3,3,4,3
bayou                        ,3,3,3,2,3
bazaar/indoor                ,4,4,3,2,3
bazaar/outdoor               ,4,4,3,2,2
beach                        ,5,5,4,5,2
beach_house                  ,5,4,3,5,4
beauty_salon                 ,4,2,3,2,4
bedchamber                   ,5,3,3,3,4
bedroom                      ,5,3,3,4,4
beer_garden                  ,3,3,2,1,3
beer_hall                    ,2,2,2,1,3
belfry                       ,2,2,2,2,2
bell_foundry                 ,1,2,1,2,2
berth                        ,2,2,2,2,2
berth_deck                   ,2,2,2,2,2
betting_shop                 ,2,1,2,1,3
bicycle_racks                ,2,3,2,3,3
bindery                      ,2,2,2,1,3
biology_laboratory           ,1,2,1,2,3
bistro/indoor                ,4,3,3,2,2
bistro/outdoor               ,4,3,3,2,2
bleachers/indoor             ,5,3,4,5,2
bleachers/outdoor            ,5,3,4,5,2
boardwalk                    ,4,5,3,5,3
boat_deck                    ,5,4,3,3,3
boathouse                    ,4,4,3,2,4
bog                          ,3,3,3,2,3
bomb_shelter/indoor          ,4,3,2,2,3
bookbindery                  ,2,2,2,1,2
bookshelf                    ,4,3,2,2,3
bookstore                    ,5,4,3,3,4
booth/indoor                 ,4,3,2,3,3
booth_outdoor                ,4,3,2,3,3
botanical_garden             ,5,5,4,4,5
bottomland                   ,3,2,3,2,2
bow_window/indoor            ,3,3,2,2,3
bow_window/outdoor           ,3,3,2,2,3
bowling_alley                ,5,4,4,5,4
box_seat                     ,4,3,3,2,3
boxing_ring                  ,2,3,1,2,3
breakfast_table              ,5,4,4,5,4
breakroom                    ,4,2,3,2,2
brewery/indoor               ,2,1,2,1,1
brewery/outdoor              ,2,2,2,1,2
bric-a-brac                  ,2,2,2,2,2
brickyard/indoor             ,2,2,4,2,2
brickyard/outdoor            ,2,2,4,2,2
bridge                       ,3,4,3,3,4
bridle_path                  ,4,3,3,3,3
brooklet                     ,5,3,4,3,3
bubble_chamber               ,2,5,3,1,5
buffet                       ,5,4,3,4,4
building_complex             ,4,3,3,3,3
building_facade              ,3,3,3,3,3
bulkhead                     ,3,2,3,2,2
bullpen                      ,3,3,3,1,3
bullring                     ,1,3,2,2,3
bunk_bed                     ,4,5,4,4,5
burial_chamber               ,1,2,1,2,2
bus_depot/indoor             ,3,3,3,2,3
bus_depot/outdoor            ,3,3,3,2,3
bus_interior                 ,5,4,3,3,4
bus_shelter                  ,4,4,3,2,4
bus_station/indoor           ,4,4,3,2,4
bus_station/outdoor          ,4,4,3,2,4
butchers_shop                ,3,2,2,3,2
butte                        ,3,2,2,3,2
bypass                       ,2,2,2,3,2
byroad                       ,2,2,2,2,2
cabana                       ,5,3,2,2,3
cabin/indoor                 ,5,3,3,2,3
cabin/outdoor                ,5,3,3,2,3
cabin_cruiser                ,4,3,3,2,3
cafeteria                    ,5,3,4,5,3
call_center                  ,2,1,3,1,1
campsite                     ,5,5,4,3,5
campus                       ,4,2,4,5,2
canal/natural                ,3,3,2,1,3
canal/urban                  ,3,3,2,1,3
candy_store                  ,5,5,5,5,5
canteen                      ,4,3,3,2,3
canyon                       ,3,3,2,3,3
car_dealership               ,2,2,2,2,2
car_interior/backseat        ,5,4,4,5,4
car_interior/frontseat       ,4,2,2,3,2
caravansary                  ,2,3,2,2,3
cardroom                     ,3,1,2,1,1
cargo_container_interior     ,1,1,1,1,1
cargo_deck/airplane          ,1,1,1,1,1
cargo_deck/boat              ,1,1,1,1,1
cargo_helicopter             ,1,1,1,1,1
carport/freestanding         ,4,2,2,3,2
carport/indoor               ,4,2,2,3,2
carport/outdoor              ,4,2,2,3,2
carrousel                    ,5,5,5,5,5
casino/indoor                ,2,2,2,1,2
casino/outdoor               ,2,2,2,1,2
castle                       ,4,4,2,3,4
catacomb                     ,2,3,1,2,3
cathedral/indoor             ,4,4,2,3,4
cathedral/outdoor            ,4,4,2,3,4
catwalk                      ,1,2,2,2,2
cavern/indoor                ,2,3,2,2,3
cavern/outdoor               ,2,3,2,2,3
cellar                       ,3,3,2,3,3
cemetery                     ,3,3,2,2,3
chair_lift                   ,4,3,3,3,3
chalet                       ,4,3,3,3,3
chaparral                    ,3,2,2,2,2
chapel                       ,4,2,3,3,2
checkout_counter             ,4,3,2,3,3
cheese_factory               ,2,2,2,2,2
chemical_plant               ,1,1,1,1,1
chemistry_lab                ,1,1,1,2,1
chicken_coop/indoor          ,3,2,2,3,2
chicken_coop/outdoor         ,3,2,2,3,2
chicken_farm/indoor          ,3,2,2,2,2
chicken_farm/outdoor         ,3,2,2,2,2
childs_room                  ,5,5,5,5,5
choir_loft/exterior          ,3,2,2,3,2
choir_loft/interior          ,3,2,2,3,2
