scene,rater1,rater2,rater3,rater4,rater5,mean,variance,,,,,
amusement_arcade             ,5,5,5,5,5,5,0,,,,,
amusement_park               ,5,5,5,5,5,5,0,,,,,
aquarium                     ,5,5,5,5,5,5,0,,,,,
aquatic_theater              ,5,5,5,5,5,5,0,,,,,
ball_pit                     ,5,5,5,5,5,5,0,,,,,
candy_store                  ,5,5,5,5,5,5,0,,,,,
carrousel                    ,5,5,5,5,5,5,0,,,,,
childs_room                  ,5,5,5,5,5,5,0,,,,,
circus_tent/indoor           ,5,5,5,5,5,5,0,,,,,
circus_tent/outdoor          ,5,5,5,5,5,5,0,,,,,
classroom                    ,5,5,5,5,5,5,0,,,,,
day_care_center              ,5,5,5,5,5,5,0,,,,,
kindergarden_classroom       ,5,5,5,5,5,5,0,,,,,
moon_bounce                  ,5,5,5,5,5,5,0,,,,,
playground                   ,5,5,5,5,5,5,0,,,,,
playroom                     ,5,5,5,5,5,5,0,,,,,
toyshop                      ,5,5,5,5,5,5,0,,,,,
tree_house                   ,5,5,5,5,5,5,0,,,,,
water_park                   ,5,5,5,5,5,5,0,,,,,
zoo                          ,5,5,5,5,5,5,0,,,,,
airport_terminal             ,5,5,4,5,5,4.8,0.2,,,,,
ice_cream_parlor             ,5,5,4,5,5,4.8,0.2,,,,,
ice_skating_rink/indoor      ,5,5,4,5,5,4.8,0.2,,,,,
ice_skating_rink/outdoor     ,5,5,4,5,5,4.8,0.2,,,,,
natural_history_museum       ,5,5,4,5,5,4.8,0.2,,,,,
roller_skating_rink/indoor   ,5,5,4,5,5,4.8,0.2,,,,,
roller_skating_rink/outdoor  ,5,5,4,5,5,4.8,0.2,,,,,
botanical_garden             ,5,5,4,4,5,4.6,0.3,,,,,
gymnasium/indoor             ,5,5,4,4,5,4.6,0.3,,,,,
gymnasium_outdoor            ,5,5,4,4,5,4.6,0.3,,,,,
nursery                      ,5,5,4,4,5,4.6,0.3,,,,,
planetarium/indoor           ,5,5,4,4,5,4.6,0.3,,,,,
planetarium/outdoor          ,5,5,4,4,5,4.6,0.3,,,,,
maternity_ward               ,5,5,3,5,5,4.6,0.8,,,,,
park                         ,5,5,3,5,5,4.6,0.8,,,,,
schoolhouse                  ,5,5,5,5,3,4.6,0.8,,,,,
bunk_bed                     ,4,5,4,4,5,4.4,0.3,,,,,
arcade                       ,5,4,4,5,4,4.4,0.3,,,,,
athletic_field/indoor        ,5,4,4,5,4,4.4,0.3,,,,,
athletic_field/outdoor       ,5,4,4,5,4,4.4,0.3,,,,,
bowling_alley                ,5,4,4,5,4,4.4,0.3,,,,,
breakfast_table              ,5,4,4,5,4,4.4,0.3,,,,,
car_interior/backseat        ,5,4,4,5,4,4.4,0.3,,,,,
fastfood_restaurant          ,5,4,4,5,4,4.4,0.3,,,,,
mini_golf_course/indoor      ,5,4,4,5,4,4.4,0.3,,,,,
mini_golf_course/outdoor     ,5,4,4,5,4,4.4,0.3,,,,,
residential_neighborhood     ,5,4,4,5,4,4.4,0.3,,,,,
city                         ,4,5,3,5,5,4.4,0.8,,,,,
picnic_area                  ,5,5,3,4,5,4.4,0.8,,,,,
campsite                     ,5,5,4,3,5,4.4,0.8,,,,,
sandbox                      ,5,5,5,5,2,4.4,1.8,,,,,
schoolyard                   ,5,5,5,5,2,4.4,1.8,,,,,
apartment_building/outdoor   ,5,4,4,4,4,4.2,0.2,,,,,
arena/basketball             ,5,4,4,4,4,4.2,0.2,,,,,
arena/soccer                 ,5,4,4,4,4,4.2,0.2,,,,,
baseball_field               ,5,4,4,4,4,4.2,0.2,,,,,
basketball_court/indoor      ,5,4,4,4,4,4.2,0.2,,,,,
basketball_court/outdoor     ,5,4,4,4,4,4.2,0.2,,,,,
stadium/outdoor              ,5,4,4,4,4,4.2,0.2,,,,,
stadium/soccer               ,5,4,4,4,4,4.2,0.2,,,,,
yard                         ,5,4,4,4,4,4.2,0.2,,,,,
beach_house                  ,5,4,3,5,4,4.2,0.7,,,,,
science_museum               ,5,5,4,4,3,4.2,0.7,,,,,
shopping_mall/indoor         ,5,4,3,5,4,4.2,0.7,,,,,
shopping_mall/outdoor        ,5,4,3,5,4,4.2,0.7,,,,,
airport/airport              ,5,5,4,5,2,4.2,1.7,,,,,
airport/entrance             ,5,5,4,5,2,4.2,1.7,,,,,
beach                        ,5,5,4,5,2,4.2,1.7,,,,,
lab_classroom                ,2,5,4,5,5,4.2,1.7,,,,,
arena/football               ,5,4,4,3,4,4,0.5,,,,,
arena/performance            ,5,4,4,3,4,4,0.5,,,,,
buffet                       ,5,4,3,4,4,4,0.5,,,,,
football_field               ,5,4,4,3,4,4,0.5,,,,,
martial_arts_gym             ,5,4,3,4,4,4,0.5,,,,,
museum/indoor                ,5,4,4,3,4,4,0.5,,,,,
museum/outdoor               ,5,4,4,3,4,4,0.5,,,,,
pet_shop                     ,4,4,3,5,4,4,0.5,,,,,
pizzeria                     ,5,4,4,3,4,4,0.5,,,,,
pizzeria_outdoor             ,5,4,4,3,4,4,0.5,,,,,
resort                       ,5,4,4,3,4,4,0.5,,,,,
restaurant                   ,5,4,3,4,4,4,0.5,,,,,
village                      ,5,4,3,4,4,4,0.5,,,,,
bath_indoor                  ,5,3,3,5,4,4,1,,,,,
boardwalk                    ,4,5,3,5,3,4,1,,,,,
cafeteria                    ,5,3,4,5,3,4,1,,,,,
movie_theater/indoor         ,5,3,4,5,3,4,1,,,,,
movie_theater/outdoor        ,5,3,4,5,3,4,1,,,,,
shower                       ,5,3,3,5,4,4,1,,,,,
arena/hockey                 ,4,4,4,3,4,3.8,0.2,,,,,
atrium/home                  ,4,4,3,4,4,3.8,0.2,,,,,
atrium/public                ,4,4,3,4,4,3.8,0.2,,,,,
coast                        ,4,4,3,4,4,3.8,0.2,,,,,
fountain                     ,4,4,4,3,4,3.8,0.2,,,,,
swimming_pool/indoor         ,4,4,4,3,4,3.8,0.2,,,,,
swimming_pool/outdoor        ,4,4,4,3,4,3.8,0.2,,,,,
theater/indoor_procenium     ,4,4,4,3,4,3.8,0.2,,,,,
theater/indoor_round         ,4,4,4,3,4,3.8,0.2,,,,,
theater/indoor_seats         ,4,4,4,3,4,3.8,0.2,,,,,
theater/outdoor              ,4,4,4,3,4,3.8,0.2,,,,,
volleyball_court/indoor      ,4,4,4,3,4,3.8,0.2,,,,,
volleyball_court/outdoor     ,4,4,4,3,4,3.8,0.2,,,,,
airport_ticket_counter       ,4,4,3,3,5,3.8,0.7,,,,,
bath_outdoor                 ,4,3,3,5,4,3.8,0.7,,,,,
bedroom                      ,5,3,3,4,4,3.8,0.7,,,,,
bookstore                    ,5,4,3,3,4,3.8,0.7,,,,,
bus_interior                 ,5,4,3,3,4,3.8,0.7,,,,,
