Scene,rater1,rater2,rater3,rater4,rater5,rater6,rater7,avg,var,,"How often could you find children here? 1: Never, 2: Rarely, 3: Sometimes, 4: Often, 5: Very often"
amusement_park               ,5,5,5,5,5,5,5,5.00,0.00,,
aquarium                     ,5,5,5,5,5,5,5,5.00,0.00,,
candy_store                  ,5,5,5,5,5,5,5,5.00,0.00,,
carrousel                    ,5,5,5,5,5,5,5,5.00,0.00,,
childs_room                  ,5,5,5,5,5,5,5,5.00,0.00,,
classroom                    ,5,5,5,5,5,5,5,5.00,0.00,,
day_care_center              ,5,5,5,5,5,5,5,5.00,0.00,,
kindergarden_classroom       ,5,5,5,5,5,5,5,5.00,0.00,,
playground                   ,5,5,5,5,5,5,5,5.00,0.00,,
playroom                     ,5,5,5,5,5,5,5,5.00,0.00,,
toyshop                      ,5,5,5,5,5,5,5,5.00,0.00,,
water_park                   ,5,5,5,5,5,5,5,5.00,0.00,,
zoo                          ,5,5,5,5,5,5,5,5.00,0.00,,
aquatic_theater              ,5,5,5,5,5,5,4,4.86,0.14,,
circus_tent/indoor           ,5,5,5,5,5,5,4,4.86,0.14,,
circus_tent/outdoor          ,5,5,5,5,5,5,4,4.86,0.14,,
ice_cream_parlor             ,5,5,4,5,5,5,5,4.86,0.14,,
ice_skating_rink/indoor      ,5,5,4,5,5,5,5,4.86,0.14,,
ice_skating_rink/outdoor     ,5,5,4,5,5,5,5,4.86,0.14,,
roller_skating_rink/indoor   ,5,5,4,5,5,5,5,4.86,0.14,,
roller_skating_rink/outdoor  ,5,5,4,5,5,5,5,4.86,0.14,,
airport_terminal             ,5,5,4,5,5,5,4,4.71,0.24,,
natural_history_museum       ,5,5,4,5,5,5,4,4.71,0.24,,
botanical_garden             ,5,5,4,4,5,5,5,4.71,0.24,,
nursery                      ,5,5,4,4,5,5,5,4.71,0.24,,
ball_pit                     ,5,5,5,5,5,5,3,4.71,0.57,,
maternity_ward               ,5,5,3,5,5,5,5,4.71,0.57,,
park                         ,5,5,3,5,5,5,5,4.71,0.57,,
schoolhouse                  ,5,5,5,5,3,5,5,4.71,0.57,,
tree_house                   ,5,5,5,5,5,5,3,4.71,0.57,,
bunk_bed                     ,4,5,4,4,5,5,5,4.57,0.29,,
gymnasium/indoor             ,5,5,4,4,5,5,4,4.57,0.29,,
gymnasium_outdoor            ,5,5,4,4,5,5,4,4.57,0.29,,
planetarium/indoor           ,5,5,4,4,5,5,4,4.57,0.29,,
planetarium/outdoor          ,5,5,4,4,5,5,4,4.57,0.29,,
picnic_area                  ,5,5,3,4,5,5,5,4.57,0.62,,
city                         ,4,5,3,5,5,5,5,4.57,0.62,,
amusement_arcade             ,5,5,5,5,5,5,2,4.57,1.29,,
sandbox                      ,5,5,5,5,2,5,5,4.57,1.29,,
schoolyard                   ,5,5,5,5,2,5,5,4.57,1.29,,
breakfast_table              ,5,4,4,5,4,4,5,4.43,0.29,,
car_interior/backseat        ,5,4,4,5,4,4,5,4.43,0.29,,
residential_neighborhood     ,5,4,4,5,4,4,5,4.43,0.29,,
beach                        ,5,5,4,5,2,5,5,4.43,1.29,,
moon_bounce                  ,5,5,5,5,5,5,1,4.43,2.29,,
apartment_building/outdoor   ,5,4,4,4,4,4,5,4.29,0.24,,
fastfood_restaurant          ,5,4,4,5,4,4,4,4.29,0.24,,
science_museum               ,5,5,4,4,3,5,4,4.29,0.57,,
campsite                     ,5,5,4,3,5,5,3,4.29,0.90,,
airport/airport              ,5,5,4,5,2,5,4,4.29,1.24,,
airport/entrance             ,5,5,4,5,2,5,4,4.29,1.24,,
museum/indoor                ,5,4,4,3,4,4,5,4.14,0.48,,
beach_house                  ,5,4,3,5,4,4,4,4.14,0.48,,
restaurant                   ,5,4,3,4,4,4,5,4.14,0.48,,
shopping_mall/indoor         ,5,4,3,5,4,4,4,4.14,0.48,,
shopping_mall/outdoor        ,5,4,3,5,4,4,4,4.14,0.48,,
village                      ,5,4,3,4,4,4,5,4.14,0.48,,
arcade                       ,5,4,4,5,4,4,3,4.14,0.48,,
mini_golf_course/indoor      ,5,4,4,5,4,4,3,4.14,0.48,,
mini_golf_course/outdoor     ,5,4,4,5,4,4,3,4.14,0.48,,
arena/performance            ,5,4,4,3,4,4,4,4.00,0.33,,
museum/outdoor               ,5,4,4,3,4,4,4,4.00,0.33,,
pizzeria                     ,5,4,4,3,4,4,4,4.00,0.33,,
pizzeria_outdoor             ,5,4,4,3,4,4,4,4.00,0.33,,
resort                       ,5,4,4,3,4,4,4,4.00,0.33,,
arena/basketball             ,5,4,4,4,4,4,3,4.00,0.33,,
arena/soccer                 ,5,4,4,4,4,4,3,4.00,0.33,,
baseball_field               ,5,4,4,4,4,4,3,4.00,0.33,,
basketball_court/outdoor     ,5,4,4,4,4,4,3,4.00,0.33,,
buffet                       ,5,4,3,4,4,4,4,4.00,0.33,,
martial_arts_gym             ,5,4,3,4,4,4,4,4.00,0.33,,
pet_shop                     ,4,4,3,5,4,4,4,4.00,0.33,,
stadium/outdoor              ,5,4,4,4,4,4,3,4.00,0.33,,
stadium/soccer               ,5,4,4,4,4,4,3,4.00,0.33,,
yard                         ,5,4,4,4,4,4,3,4.00,0.33,,
swimming_pool/indoor         ,4,4,4,3,4,4,5,4.00,0.33,,
swimming_pool/outdoor        ,4,4,4,3,4,4,5,4.00,0.33,,
loo                          ,5,4,3,3,4,4,5,4.00,0.67,,
market/indoor                ,5,4,3,3,4,4,5,4.00,0.67,,
market/outdoor               ,5,4,3,3,4,4,5,4.00,0.67,,
restaurant_patio             ,5,4,3,3,4,4,5,4.00,0.67,,
boardwalk                    ,4,5,3,5,3,5,3,4.00,1.00,,
cafeteria                    ,5,3,4,5,3,3,5,4.00,1.00,,
movie_theater/indoor         ,5,3,4,5,3,3,5,4.00,1.00,,
athletic_field/indoor        ,5,4,4,5,4,4,2,4.00,1.00,,
athletic_field/outdoor       ,5,4,4,5,4,4,2,4.00,1.00,,
bowling_alley                ,5,4,4,5,4,4,2,4.00,1.00,,
atrium/home                  ,4,4,3,4,4,4,4,3.86,0.14,,
atrium/public                ,4,4,3,4,4,4,4,3.86,0.14,,
coast                        ,4,4,3,4,4,4,4,3.86,0.14,,
arena/hockey                 ,4,4,4,3,4,4,4,3.86,0.14,,
fountain                     ,4,4,4,3,4,4,4,3.86,0.14,,
theater/indoor_procenium     ,4,4,4,3,4,4,4,3.86,0.14,,
theater/indoor_seats         ,4,4,4,3,4,4,4,3.86,0.14,,
theater/outdoor              ,4,4,4,3,4,4,4,3.86,0.14,,
dinette/home                 ,3,4,3,4,4,4,5,3.86,0.48,,
arena/football               ,5,4,4,3,4,4,3,3.86,0.48,,
bus_interior                 ,5,4,3,3,4,4,4,3.86,0.48,,
football_field               ,5,4,4,3,4,4,3,3.86,0.48,,
library/outdoor              ,5,4,3,3,4,4,4,3.86,0.48,,
rest_area                    ,5,4,3,3,4,4,4,3.86,0.48,,
bedroom                      ,5,3,3,4,4,3,5,3.86,0.81,,
food_court                   ,5,3,4,4,3,3,5,3.86,0.81,,
stadium/baseball             ,5,4,4,4,2,4,4,3.86,0.81,,
basketball_court/indoor      ,5,4,4,4,4,4,2,3.86,0.81,,
bath_indoor                  ,5,3,3,5,4,3,4,3.86,0.81,,
movie_theater/outdoor        ,5,3,4,5,3,3,4,3.86,0.81,,
house                        ,5,3,3,5,3,3,5,3.86,1.14,,
living_room                  ,5,3,3,5,3,3,5,3.86,1.14,,
student_center               ,5,3,3,5,3,3,5,3.86,1.14,,
labyrinth/indoor             ,4,5,3,1,5,5,4,3.86,2.14,,
labyrinth/outdoor            ,4,5,3,1,5,5,4,3.86,2.14,,
lab_classroom                ,2,5,4,5,5,5,1,3.86,2.81,,
general_store/indoor         ,4,4,3,3,4,4,4,3.71,0.24,,
general_store/outdoor        ,4,4,3,3,4,4,4,3.71,0.24,,
gift_shop                    ,3,4,4,3,4,4,4,3.71,0.24,,
store                        ,4,4,3,3,4,4,4,3.71,0.24,,
theater/indoor_round         ,4,4,4,3,4,4,3,3.71,0.24,,
volleyball_court/outdoor     ,4,4,4,3,4,4,3,3.71,0.24,,
airport_ticket_counter       ,4,4,3,3,5,4,3,3.71,0.57,,
bookstore                    ,5,4,3,3,4,4,3,3.71,0.57,,
hedge_maze                   ,5,4,3,3,4,4,3,3.71,0.57,,
lavatory                     ,5,4,3,3,4,4,3,3.71,0.57,,
library/indoor               ,5,4,3,3,4,4,3,3.71,0.57,,
rest_stop                    ,5,4,3,3,4,4,3,3.71,0.57,,
train_interior               ,5,4,3,3,4,4,3,3.71,0.57,,
television_room              ,5,3,4,4,3,3,4,3.71,0.57,,
underwater/pool              ,4,3,4,5,3,3,4,3.71,0.57,,
water_fountain               ,4,3,4,5,3,3,4,3.71,0.57,,
safari_park                  ,3,4,3,3,4,4,5,3.71,0.57,,
kitchen                      ,5,4,3,2,4,4,4,3.71,0.90,,
stadium/football             ,5,4,4,4,2,4,3,3.71,0.90,,
dance_school                 ,5,3,3,4,3,3,5,3.71,0.90,,
home_theater                 ,5,3,4,3,3,3,5,3.71,0.90,,
lawn                         ,5,3,3,4,3,3,5,3.71,0.90,,
shower                       ,5,3,3,5,4,3,3,3.71,0.90,,
airplane_cabin               ,5,3,2,5,4,3,4,3.71,1.24,,
bathroom                     ,5,3,3,5,2,3,5,3.71,1.57,,
amphitheater                 ,4,4,3,3,4,4,3,3.57,0.29,,
amphitheater_indoor          ,4,4,3,3,4,4,3,3.57,0.29,,
arch                         ,3,4,3,4,4,4,3,3.57,0.29,,
bridge                       ,3,4,3,3,4,4,4,3.57,0.29,,
diner/indoor                 ,3,4,3,3,4,4,4,3.57,0.29,,
diner/outdoor                ,3,4,3,3,4,4,4,3.57,0.29,,
downtown                     ,3,4,3,3,4,4,4,3.57,0.29,,
kraal                        ,3,4,3,3,4,4,4,3.57,0.29,,
sporting_goods_store         ,4,3,4,4,3,3,4,3.57,0.29,,
bath_outdoor                 ,4,3,3,5,4,3,3,3.57,0.62,,
volleyball_court/indoor      ,4,4,4,3,4,4,2,3.57,0.62,,
auditorium                   ,5,3,3,4,3,3,4,3.57,0.62,,
back_porch                   ,5,3,3,4,3,3,4,3.57,0.62,,
ballet                       ,4,3,3,3,5,3,4,3.57,0.62,,
bus_shelter                  ,4,4,3,2,4,4,4,3.57,0.62,,
bus_station/indoor           ,4,4,3,2,4,4,4,3.57,0.62,,
bus_station/outdoor          ,4,4,3,2,4,4,4,3.57,0.62,,
hammock                      ,5,3,4,3,3,3,4,3.57,0.62,,
hotel_breakfast_area         ,5,3,3,4,3,3,4,3.57,0.62,,
promenade                    ,4,4,3,2,4,4,4,3.57,0.62,,
restroom/indoor              ,5,3,3,4,3,3,4,3.57,0.62,,
restroom/outdoor             ,5,3,3,4,3,3,4,3.57,0.62,,
barbeque                     ,4,4,4,4,2,4,3,3.57,0.62,,
boat_deck                    ,5,4,3,3,3,4,3,3.57,0.62,,
department_store             ,4,3,3,4,3,3,5,3.57,0.62,,
pier                         ,4,3,3,4,3,3,5,3.57,0.62,,
supermarket                  ,4,3,3,4,3,3,5,3.57,0.62,,
tennis_court/indoor          ,4,4,4,2,4,4,3,3.57,0.62,,
tennis_court/outdoor         ,4,4,4,2,4,4,3,3.57,0.62,,
bakery/shop                  ,5,4,3,3,2,4,4,3.57,0.95,,
seaside                      ,5,4,3,3,2,4,4,3.57,0.95,,
shower_room                  ,5,3,3,5,3,3,3,3.57,0.95,,
track/outdoor                ,3,4,3,2,4,4,5,3.57,0.95,,
badminton_court/indoor       ,5,4,3,2,4,4,3,3.57,0.95,,
kitchenette                  ,5,4,3,2,4,4,3,3.57,0.95,,
trailer_park                 ,5,4,3,2,4,4,3,3.57,0.95,,
lyceum                       ,3,3,3,5,3,3,5,3.57,0.95,,
bleachers/indoor             ,5,3,4,5,2,3,3,3.57,1.29,,
bleachers/outdoor            ,5,3,4,5,2,3,3,3.57,1.29,,
clothing_store               ,4,3,3,4,3,3,4,3.43,0.29,,
dentists_office              ,4,3,3,4,3,3,4,3.43,0.29,,
roof_garden                  ,3,4,3,3,4,4,3,3.43,0.29,,
subway_interior              ,3,4,3,3,4,4,3,3.43,0.29,,
subway_station/platform      ,3,4,3,3,4,4,3,3.43,0.29,,
bazaar/indoor                ,4,4,3,2,3,4,4,3.43,0.62,,
dining_area                  ,3,3,3,4,3,3,5,3.43,0.62,,
dining_room                  ,4,3,3,3,3,3,5,3.43,0.62,,
housing_estate               ,4,3,3,3,3,3,5,3.43,0.62,,
pueblo                       ,4,3,3,3,3,3,5,3.43,0.62,,
track/indoor                 ,3,4,3,2,4,4,4,3.43,0.62,,
art_school                   ,5,3,3,4,3,3,3,3.43,0.62,,
bedchamber                   ,5,3,3,3,4,3,3,3.43,0.62,,
boathouse                    ,4,4,3,2,4,4,3,3.43,0.62,,
brooklet                     ,5,3,4,3,3,3,3,3.43,0.62,,
dinette/vehicle              ,2,4,3,4,4,4,3,3.43,0.62,,
flea_market/indoor           ,4,4,3,2,4,4,3,3.43,0.62,,
flea_market/outdoor          ,4,4,3,2,4,4,3,3.43,0.62,,
hotel/outdoor                ,5,3,3,4,3,3,3,3.43,0.62,,
promenade_deck               ,4,4,3,2,4,4,3,3.43,0.62,,
recreation_room              ,5,3,4,3,3,3,3,3.43,0.62,,
tent/outdoor                 ,5,3,4,3,3,3,3,3.43,0.62,,
balcony/interior             ,3,3,3,3,5,3,4,3.43,0.62,,
castle                       ,4,4,2,3,4,4,3,3.43,0.62,,
