"dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","episodes","censored","model","C","M","a","active","uniform","fam_context","cell_elapsed_secs","sweep","active_prob","active_policy","choice_k_label"
1638,3632,6022,8504,11648,15903,21186,29027,40607,83018,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1710,4054,6196,8545,11287,15402,19747,27380,40676,85342,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1957,3831,6220,8593,11644,14851,20398,27585,40133,79581,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1805,4252,6619,9038,11896,15863,21095,26773,39482,103250,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1781,3631,5773,8568,11646,15313,21116,26625,39827,85664,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1627,3560,5647,8321,11783,16098,21403,29098,40594,92860,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1645,3760,5820,8521,11518,16172,21409,28416,42984,91639,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1830,3975,6148,8535,11294,15399,19708,26973,37664,85118,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1876,3709,6127,8599,11876,15662,20884,28739,41273,92048,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
2034,3929,6132,9089,12155,15931,20207,27832,40907,93588,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1695,3828,6145,8844,12751,16100,22220,29105,39914,90016,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1868,3563,5993,8680,11536,15043,20072,27363,39889,87746,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1644,4104,6275,8713,12208,15004,20529,27572,39784,93506,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1868,3895,5530,8234,11136,15343,20538,29573,39577,87431,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1966,3955,5891,8284,10998,15397,20367,27074,41346,95161,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1907,3911,6183,8219,10659,13789,19212,27558,39405,81717,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1892,3880,6380,9098,12089,16176,20754,27897,39058,85910,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
1766,3793,5981,8490,11640,15557,20943,29757,42554,99116,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",61.4787349700928,"baseline",0,"unknown","Inf"
