"","dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","episodes","censored"
"passive",1819.66666666667,3815.46666666667,6128.33333333333,8755.66666666667,11828.6333333333,15615.2333333333,20653.7666666667,27735.4,40354.3666666667,91963.3666666667,0
"const_0.10",1637.66666666667,3296.6,4983.33333333333,6718.63333333333,8539.63333333333,10542,12827.6666666667,15254.3333333333,17908.8333333333,20907.0333333333,0
"const_0.25",1408.9,2694.1,3895.96666666667,5089.93333333333,6305.16666666667,7505.13333333333,8737.4,9944.1,11264.8333333333,12526.6,0
"const_0.50",1187.63333333333,2102.3,2939,3700.2,4431.86666666667,5150.7,5844.26666666667,6504.66666666667,7167.26666666667,7823.46666666667,0
"const_0.75",1042.3,1788.1,2427.76666666667,3002.03333333333,3544.1,4045.86666666667,4527.36666666667,4995.76666666667,5454.5,5887.5,0
"active",890.6,1493.43333333333,2004.33333333333,2454.53333333333,2864.73333333333,3259.53333333333,3638.73333333333,3997.66666666667,4337.16666666667,4658.8,0
"ramp_fwd_T1000",1082.76666666667,1695.16666666667,2220.03333333333,2680,3097.06666666667,3480.6,3858.13333333333,4211.76666666667,4556.26666666667,4873.76666666667,0
"ramp_fwd_T5000",1526.33333333333,2548.73333333333,3301.2,3879.43333333333,4382.83333333333,4805.9,5182.76666666667,5533.5,5881.46666666667,6215.9,0
"ramp_fwd_T20000",1708.9,3257.96666666667,4599.43333333333,5738.13333333333,6787.33333333333,7706.4,8560.46666666667,9303.96666666667,9996.2,10643.2,0
"ramp_rev_T1000",1397.16666666667,3381.83333333333,5675.26666666667,8308.86666666667,11338.3666666667,15092.9666666667,20106.3,27324.3,39929.8,89960.9333333333,0
"ramp_rev_T5000",935.933333333333,1676.66666666667,2437.56666666667,3272.2,4730.36666666667,8481.26666666667,13488.5333333333,20661.8666666667,33484.7,82500.1666666667,0
"ramp_rev_T20000",909.233333333333,1534.33333333333,2079,2577.16666666667,3067.23333333333,3526.13333333333,3979.46666666667,4423.2,4872.43333333333,5309.9,0
