"a","C","p_absent_top","exposures_to_eliminate_top"
0.25,10,0.962373792998281,1.03909728971785
0.5,10,0.862495043171801,1.15942695313648
0.6,10,0.783027341253672,1.27709461383423
0.7,10,0.674451569870507,1.48268614778671
0.75,10,0.609965732505845,1.63943635963258
0.8,10,0.540262072956116,1.85095354654153
0.85,10,0.467333974935386,2.13979734757838
0.9,10,0.39369297115753,2.54005042828125
1,10,0.255339825845385,3.9163495028211
0.25,100,0.641329169290368,1.55926168321098
0.5,100,0.171979057797796,5.81466146404724
0.6,100,0.0504328284619831,19.828354476565
0.7,100,0.00670622857304176,149.115108306907
0.75,100,0.00158773993428316,629.826068115798
0.8,100,0.000256116642127568,3904.4709929545
0.85,100,2.57751869357407e-05,38797.0028110006
0.9,100,1.46330100975109e-06,683386.393733237
1,100,5.39103442986382e-10,1854931577.62166
