"setting","label","n","n_censored","mean50","mean90","mean99","se99","ratio_to_active","speedup_vs_passive"
"a=0.75, random context","passive",30,0,726647.2,3013791.83333333,6650174.9,102741.418508992,10.5778103946337,1
"a=0.75, random context","ap=0.25",30,0,533084.1,1244990.06666667,1463975.93333333,7906.66854135389,2.32860940922123,4.54254386877671
"a=0.75, random context","ap=0.50",30,0,438284.733333333,881782.4,990935.166666667,6495.90146506778,1.57618776408042,6.71100907879779
"a=0.75, random context","ap=0.75",30,0,365966.666666667,684091.6,758790,3254.64802800655,1.20693618890295,8.76418363447067
"a=0.75, random context","active",30,0,320256.633333333,571267,628691.066666667,3937.55811077231,1,10.5778103946337
"a=0.75, random context","goldilocks",30,0,318153.6,573525.7,628754.533333333,4013.04750416081,1.00010095048273,10.5767426673557
"a=0.75, random context","k=100",30,0,322635.5,575446.066666667,645120.566666667,4055.16516116539,1.02613286695341,10.3084217797634
"a=0.75, random context","k=50",30,0,325728.966666667,581428.7,684199.466666667,3910.26600492499,1.08829201326863,9.71964350162214
"a=0.75, random context","k=20",30,0,324361.133333333,612743.066666667,831280.433333333,4970.82837673925,1.3222399321511,7.9999175168043
"a=0.75, random context","k=5",30,0,345534.233333333,937901.733333333,1745069,19257.8229917509,2.77571782473766,3.81083779495252
"a=1, familiar context","passive",30,0,27204.4,54374.4666666667,427574.266666667,18780.1747675227,26.6231112808422,1
"a=1, familiar context","ap=0.25",30,0,19366.4333333333,23726.0333333333,29067,224.320737123094,1.80987032178793,14.7099551610647
"a=1, familiar context","ap=0.50",30,0,16441.5,18875.3333333333,21527.2333333333,168.813449941721,1.34040323116262,19.8620166393886
"a=1, familiar context","ap=0.75",30,0,14557.9333333333,16168.0666666667,17852.0666666667,98.2241037596525,1.11156726330821,23.9509673949982
"a=1, familiar context","active",30,0,13472.3666666667,14790.2,16060.2666666667,101.953560910718,1,26.6231112808422
"a=1, familiar context","goldilocks",30,0,6828.7,7674.1,9044.53333333333,79.2678238172356,0.563162089463023,47.2743314562019
"a=1, familiar context","k=100",30,0,83879.4666666667,85467.3,88532.6333333333,902.883133542348,5.51252573639292,4.8295668000387
"a=1, familiar context","k=50",30,0,120967.033333333,122583.166666667,128651.4,1278.91093719905,8.01053946800385,3.323510406157
"a=1, familiar context","k=20",30,0,161415.166666667,163631.6,181593.4,2789.6676004355,11.3069978082556,2.35456942084165
"a=1, familiar context","k=5",30,0,85848.0666666667,91857,166652.633333333,3327.33608592479,10.3767039982732,2.56566162870914
