"a","active","context","n","n_censored","mean50","mean90","mean99","se99"
0.8,"Active","Familiar",30,0,6583.03333333333,7611.06666666667,7892.03333333333,31.3793798365615
0.8,"Active","Random",30,0,1970612.06666667,3524683.36666667,3871498.6,21635.7426592011
0.8,"Passive","Familiar",30,0,12087.8333333333,23720.2333333333,50648.2666666667,813.907502628677
0.8,"Passive","Random",30,0,4857913.73333333,20973168.6666667,47407483.9666667,534234.205578379
0.85,"Active","Familiar",30,0,7692,8752,9103.9,39.6534224001659
0.85,"Active","Random",30,0,19485147.3666667,34888651.2333333,38429472.4666667,213664.70259667
0.85,"Passive","Familiar",30,0,14681.4333333333,28448.4333333333,71373.7,1376.62710679015
0.85,"Passive","Random",30,30,52943987.0666667,NA,NA,NA
0.9,"Active","Familiar",30,0,9070.46666666667,10191.7,10646.2333333333,41.0381847230599
0.9,"Active","Random",30,30,NA,NA,NA,NA
0.9,"Passive","Familiar",30,0,17595.6333333333,34507.0666666667,106038.966666667,2924.16910901586
0.9,"Passive","Random",30,30,NA,NA,NA,NA
