"a","active","context","n","n_censored","mean50","mean90","mean99","se99"
0,"Active","Familiar",30,0,2764.9,3556.83333333333,3690.06666666667,3.94791763336658
0,"Active","Random",30,0,2771.7,3575.06666666667,3718.46666666667,4.013120244849
0,"Passive","Familiar",30,0,3368.56666666667,6420.66666666667,9693.43333333333,72.8886362543515
0,"Passive","Random",30,0,3369.36666666667,6442.53333333333,9903.83333333333,96.0930952264083
0.25,"Active","Familiar",30,0,2849.33333333333,3675.16666666667,3814.63333333333,4.69543268747464
0.25,"Active","Random",30,0,2923.06666666667,3787.73333333333,3936.96666666667,4.90776614992763
0.25,"Passive","Familiar",30,0,3635.26666666667,7216,11127.7,106.788728472323
0.25,"Passive","Random",30,0,3719.13333333333,7525.93333333333,12012.4666666667,115.73000418963
0.5,"Active","Familiar",30,0,3474.56666666667,4363.26666666667,4518.36666666667,9.12877014961185
0.5,"Active","Random",30,0,5531.23333333333,7551.03333333333,8018.93333333333,26.0265529015791
0.5,"Passive","Familiar",30,0,5133.6,10369.1,17040.0333333333,139.788760860218
0.5,"Passive","Random",30,0,8529,20429.6333333333,40456.4333333333,566.602602903356
0.6,"Active","Familiar",30,0,4087.03333333333,5002.73333333333,5179.83333333333,13.3694697092485
0.6,"Active","Random",30,0,13422.5333333333,20465.0333333333,22220.1666666667,113.45358140711
0.6,"Passive","Familiar",30,0,6478.96666666667,12940.9666666667,22108.7,256.746563844537
0.6,"Passive","Random",30,0,23284.2,73480.8,159915.866666667,2176.52050999329
0.7,"Active","Familiar",30,0,5016.23333333333,5988.86666666667,6189.76666666667,16.483477156143
0.7,"Active","Random",30,0,79141.8333333333,137149.166666667,150527.866666667,1039.06816646425
0.7,"Passive","Familiar",30,0,8599.33333333333,16954.1666666667,32026.2,409.79548417543
0.7,"Passive","Random",30,0,161859.966666667,643898.933333333,1452120.7,20527.9340454114
0.75,"Active","Familiar",30,0,5732.6,6730.76666666667,6967.86666666667,21.2368543968811
0.75,"Active","Random",30,0,319521.833333333,572138.033333333,629705.233333333,4052.35838717686
0.75,"Passive","Familiar",30,0,10099.9333333333,19677.7666666667,39371.7666666667,489.702846053553
0.75,"Passive","Random",30,0,709727.166666667,3028854.9,6743226.4,74656.5556036687
