"setting","label","n","n_censored","mean99","se99","ratio_to_active","speedup_vs_passive"
"C=10, a=1, familiar context","passive",200,0,44588.93,215.008121210414,14.2364995059091,1
"C=10, a=1, familiar context","ap=0.25",200,0,7857.485,10.7544357507302,2.50876352763317,5.67470761955002
"C=10, a=1, familiar context","ap=0.50",200,0,5116.125,6.58364403036745,1.63349313461142,8.71537149698258
"C=10, a=1, familiar context","ap=0.75",200,0,3860.5,4.10882124949498,1.23259307506509,11.5500401502396
"C=10, a=1, familiar context","active",200,0,3132.015,2.77746203426056,1,14.2364995059091
"C=10, a=1, familiar context","goldilocks",200,0,3246.605,2.72617958886677,1.03658667024264,13.7340175352407
"C=10, a=1, familiar context","k=100",200,0,3417.87,3.68351147465562,1.09126871997739,13.0458238610597
"C=10, a=1, familiar context","k=50",200,0,3615.095,4.75597269297054,1.15423936347687,12.3340963377173
"C=10, a=1, familiar context","k=20",200,0,4483.18,9.6703732395893,1.43140438344005,9.94582640001071
"C=10, a=1, familiar context","k=5",200,0,10383.24,39.6713503956073,3.31519485059937,4.29431757332008
"C=10, a=1, random context","passive",200,0,89052.215,469.439069682742,18.9808192987822,1
"C=10, a=1, random context","ap=0.25",200,0,12504.76,21.343898943505,2.66529687032085,7.12146534599624
"C=10, a=1, random context","ap=0.50",200,0,7828.22,12.8570653200183,1.66852704619546,11.3757936031435
"C=10, a=1, random context","ap=0.75",200,0,5824.85,9.19021150122161,1.24152358582559,15.2883275964188
"C=10, a=1, random context","active",200,0,4691.695,6.83543162518012,1,18.9808192987822
"C=10, a=1, random context","goldilocks",200,0,4676.09,6.69186181662953,0.996673909962178,19.044161895943
"C=10, a=1, random context","k=100",200,0,4853.625,7.06289560638791,1.03451417877761,18.3475680548044
"C=10, a=1, random context","k=50",200,0,5298.81,10.252937782208,1.12940206044937,16.8060781571711
"C=10, a=1, random context","k=20",200,0,7211.165,22.0450689315316,1.53700634845189,12.3492133379281
"C=10, a=1, random context","k=5",200,0,19465.76,98.7627626101658,4.1489824040139,4.57481315910604
