"age","vocab","instrument"
12,7.29,"Oxford CDI (WG-style, n=418 items)"
13,6.97,"Oxford CDI (WG-style, n=418 items)"
14,16.96,"Oxford CDI (WG-style, n=418 items)"
15,17.44,"Oxford CDI (WG-style, n=418 items)"
16,29.7100000000001,"Oxford CDI (WG-style, n=418 items)"
17,41.84,"Oxford CDI (WG-style, n=418 items)"
18,50.95,"Oxford CDI (WG-style, n=418 items)"
19,82.5900000000002,"Oxford CDI (WG-style, n=418 items)"
20,110.1,"Oxford CDI (WG-style, n=418 items)"
21,130.07,"Oxford CDI (WG-style, n=418 items)"
22,151.17,"Oxford CDI (WG-style, n=418 items)"
23,187.29,"Oxford CDI (WG-style, n=418 items)"
24,220.54,"Oxford CDI (WG-style, n=418 items)"
25,227.73,"Oxford CDI (WG-style, n=418 items)"
16,58.7699999999999,"WS (n=797 items)"
17,70.4400000000001,"WS (n=797 items)"
18,119.41,"WS (n=797 items)"
19,152.68,"WS (n=797 items)"
20,169.02,"WS (n=797 items)"
21,194.09,"WS (n=797 items)"
22,256.57,"WS (n=797 items)"
23,292.12,"WS (n=797 items)"
24,323.239999999999,"WS (n=797 items)"
25,358.86,"WS (n=797 items)"
26,407,"WS (n=797 items)"
27,415.11,"WS (n=797 items)"
28,506.050000000001,"WS (n=797 items)"
29,460.69,"WS (n=797 items)"
30,533.879999999999,"WS (n=797 items)"
