"model","Clabel","active","checkpoint","mean_ep","median_ep","p25","p75","skew_ratio","n"
"Eliminative","C=10","Active","50%",2899.63333333333,2900.5,2857.75,2943,0.999701200942366,30
"Eliminative","C=10","Active","90%",4368.26666666667,4367,4328.5,4435.75,1.00029005419434,30
"Eliminative","C=10","Active","99%",4695.36666666667,4701,4635.25,4768.5,0.998801673402822,30
"Eliminative","C=10","Passive","50%",11758,11710,11530.75,11987.25,1.00409906063194,30
"Eliminative","C=10","Passive","90%",40243.3666666667,40122.5,39016.25,41751.25,1.0030124410659,30
"Eliminative","C=10","Passive","99%",89453.8666666667,89660,84817.75,95278,0.997700944308127,30
"Eliminative","C=100","Active","50%",398875.333333333,399793,392136.5,404963.5,0.997704645487373,15
"Eliminative","C=100","Active","90%",653395.933333333,656661,636443.5,665177,0.995027774351352,15
"Eliminative","C=100","Active","99%",713243.6,718293,695383,727668.5,0.992970278145548,15
"Eliminative","C=100","Passive","50%",1218485.4,1205516,1172135,1259798.5,1.01075838064364,15
"Eliminative","C=100","Passive","90%",4904569.33333333,4899614,4847452,4959528.5,1.00101137218837,15
"Eliminative","C=100","Passive","99%",11751912.9333333,11747993,10928162,12533389,1.00033366834091,15
"Guess-test","C=10","Active","50%",4626.16666666667,4543,4243.75,5022.75,1.01830655220486,30
"Guess-test","C=10","Active","90%",7365.93333333333,7267.5,6648.75,7871,1.01354431831212,30
"Guess-test","C=10","Active","99%",7746.56666666667,7631.5,6864.25,8608.75,1.01507785712726,30
"Guess-test","C=10","Passive","50%",7686.13333333333,7579.5,7454,7886.75,1.01406865008686,30
"Guess-test","C=10","Passive","90%",22162.4333333333,22193,21588.75,22618.75,0.998622688835819,30
"Guess-test","C=10","Passive","99%",38037.0666666667,37590.5,36589.75,39141,1.01187977458844,30
