"halflife_label","active","n","reached50","reached90","reached99","med50","med90","med99","mean50","mean90","mean99"
"No decay","Active",30,30,30,30,9480.5,12071,12695,9317.93333333333,12384.1333333333,14292.2
"No decay","Passive",30,30,30,30,18670.5,40528.5,65056.5,18526.4333333333,40459.8666666667,64832.5333333333
"t1/2=20000","Active",30,30,30,30,10256,14561,16249.5,9909.86666666667,13626.6666666667,16540.3333333333
"t1/2=20000","Passive",30,30,30,30,20336.5,52796,105250.5,20468.0666666667,52866.1,103555.9
"t1/2=5000","Active",30,30,30,30,10475,14530,16093.5,10835.2666666667,15014.5333333333,17746.2
"t1/2=5000","Passive",30,30,30,30,28385.5,113873.5,283126,28447.5666666667,114872.8,287522.866666667
"t1/2=1000","Active",30,30,30,30,13649,17217,19837.5,15562.6333333333,22636.7,25335.0666666667
"t1/2=1000","Passive",30,30,30,0,138330.5,1430570,NA,139062.5,1444772.4,NA
"t1/2=200","Active",30,30,30,30,41167,47995.5,48700.5,51734.2333333333,78541.1,94452.8666666667
"t1/2=200","Passive",30,0,0,0,NA,NA,NA,NA,NA,NA
