"halflife_label","active","n","mean50","mean90","mean99"
"No decay","Active",30,4436.73333333333,7102.56666666667,7655.83333333333
"No decay","Passive",30,7676.43333333333,22015.6666666667,38774.1333333333
"t1/2=20000","Active",30,4781.36666666667,7725.76666666667,8165.76666666667
"t1/2=20000","Passive",30,7585.6,21625.5333333333,37942
"t1/2=5000","Active",30,4506.43333333333,7195.16666666667,7629.3
"t1/2=5000","Passive",30,7511.73333333333,21810.2333333333,38575.1666666667
"t1/2=1000","Active",30,4320.16666666667,6616.33333333333,6963.3
"t1/2=1000","Passive",30,7556.03333333333,21736.8333333333,37642.2
"t1/2=200","Active",30,4488,6845.7,7256.2
"t1/2=200","Passive",30,7679.03333333333,21882.5,38232.2666666667
