"label","episode","n_unseen","n_learned","competitor_survival","n_runs"
"Choice set 100 (freq.)",500,917.3,0,0.867222357157187,10
"Choice set 100 (freq.)",1000,881.2,0,0.937488531541242,10
"Choice set 100 (freq.)",1500,852.1,0,0.95299680322074,10
"Choice set 100 (freq.)",2000,834,0,0.959339449981776,10
"Choice set 100 (freq.)",2500,813.3,0.1,0.961933915077085,10
"Choice set 100 (freq.)",3000,796.2,0.1,0.96855567347349,10
"Choice set 100 (freq.)",3500,780.2,0.2,0.965649933168533,10
"Choice set 100 (freq.)",4000,764.3,0.2,0.968936897134603,10
"Choice set 100 (freq.)",4500,751.2,0.2,0.97321909501588,10
"Choice set 100 (freq.)",5000,737.7,0.2,0.970050692113922,10
"Choice set 100 (freq.)",5500,727.2,0.2,0.974881381759323,10
"Choice set 100 (freq.)",6000,716.8,0.2,0.975258495685222,10
"Choice set 100 (freq.)",6500,706,0.3,0.974199707299463,10
"Choice set 100 (freq.)",7000,693.9,0.3,0.976248038427013,10
"Choice set 100 (freq.)",7500,682.7,0.3,0.97751945319426,10
"Choice set 100 (freq.)",8000,672.3,0.4,0.980704645810449,10
"Choice set 100 (freq.)",8500,661.6,0.4,0.977786764977265,10
"Choice set 100 (freq.)",9000,652.3,0.4,0.982542274321271,10
"Choice set 100 (freq.)",9500,642.8,0.4,0.979060255550001,10
"Choice set 100 (freq.)",10000,634.1,0.4,0.979132358169961,10
"Choice set 100 (freq.)",10500,626.4,0.4,0.97965033324466,10
"Choice set 100 (freq.)",11000,617.5,0.4,0.981054464557581,10
"Choice set 100 (freq.)",11500,609.8,0.4,0.981814237437281,10
"Choice set 100 (freq.)",12000,601.6,0.4,0.981944577267461,10
"Choice set 100 (freq.)",12500,593.5,0.5,0.982464181179903,10
"Choice set 100 (freq.)",13000,585.8,0.6,0.979820183545682,10
"Choice set 100 (freq.)",13500,578,0.7,0.980230436223492,10
"Choice set 100 (freq.)",14000,570.8,0.7,0.9818564761384,10
"Choice set 100 (freq.)",14500,564.1,0.7,0.98270444894153,10
"Choice set 100 (freq.)",15000,556.8,0.8,0.978595571790934,10
"Choice set 100 (freq.)",15500,550.3,0.8,0.980829786479049,10
"Choice set 100 (freq.)",16000,545,0.8,0.981936483301109,10
"Choice set 100 (freq.)",16500,538.5,0.8,0.980120195093124,10
"Choice set 100 (freq.)",17000,532.2,0.8,0.982244093260928,10
"Choice set 100 (freq.)",17500,526.4,0.8,0.983632874720099,10
"Choice set 100 (freq.)",18000,519.2,0.9,0.982596466729088,10
"Choice set 100 (freq.)",18500,513.7,0.9,0.986074697927645,10
"Choice set 100 (freq.)",19000,508,1,0.982194861011635,10
"Choice set 100 (freq.)",19500,501.3,1.1,0.982704248152024,10
"Choice set 100 (freq.)",20000,495.3,1.1,0.981857544958084,10
"Choice set 100 (freq.)",20500,489.6,1.1,0.983030747476237,10
"Choice set 100 (freq.)",21000,484.9,1.1,0.983787890724894,10
"Choice set 100 (freq.)",21500,480.3,1.1,0.980928139198335,10
"Choice set 100 (freq.)",22000,475.8,1.1,0.982400386157344,10
"Choice set 100 (freq.)",22500,470.9,1.1,0.98343343781828,10
"Choice set 100 (freq.)",23000,464.7,1.1,0.980709805535866,10
"Choice set 100 (freq.)",23500,458.6,1.1,0.98349408949319,10
"Choice set 100 (freq.)",24000,455.1,1.1,0.983754249188594,10
"Choice set 100 (freq.)",24500,450.8,1.2,0.983463332412814,10
"Choice set 100 (freq.)",25000,445.5,1.3,0.982494367473431,10
"Choice set 100 (freq.)",25500,441,1.3,0.983751115945886,10
"Choice set 100 (freq.)",26000,438,1.3,0.985836137711782,10
"Choice set 100 (freq.)",26500,434,1.3,0.983055148668423,10
"Choice set 100 (freq.)",27000,430,1.3,0.985026678458901,10
"Choice set 100 (freq.)",27500,426.1,1.3,0.986411924271376,10
"Choice set 100 (freq.)",28000,421.1,1.3,0.985853336720985,10
"Choice set 100 (freq.)",28500,417.3,1.3,0.986886362527816,10
"Choice set 100 (freq.)",29000,412.5,1.3,0.985739606920717,10
"Choice set 100 (freq.)",29500,409.2,1.4,0.987722136636801,10
"Choice set 100 (freq.)",30000,404.3,1.4,0.983992914138449,10
"Choice set 100 (freq.)",30500,399.8,1.4,0.98424995723266,10
"Choice set 100 (freq.)",31000,395.5,1.4,0.986685725462126,10
"Choice set 100 (freq.)",31500,392.1,1.4,0.984503255682065,10
"Choice set 100 (freq.)",32000,389.7,1.4,0.982979511076556,10
"Choice set 100 (freq.)",32500,385.5,1.4,0.98552404168713,10
"Choice set 100 (freq.)",33000,381.8,1.4,0.98580674916786,10
"Choice set 100 (freq.)",33500,378.1,1.4,0.989126281291763,10
"Choice set 100 (freq.)",34000,374.1,1.4,0.985163527591649,10
"Choice set 100 (freq.)",34500,369.9,1.4,0.984572689309913,10
"Choice set 100 (freq.)",35000,366.3,1.4,0.986792202112581,10
"Choice set 100 (freq.)",35500,362.5,1.6,0.985189939680388,10
"Choice set 100 (freq.)",36000,359.3,1.6,0.986364876103901,10
"Choice set 100 (freq.)",36500,357,1.6,0.984188092059551,10
"Choice set 100 (freq.)",37000,354.2,1.6,0.984901478121306,10
"Choice set 100 (freq.)",37500,351.4,1.7,0.986715017920891,10
"Choice set 100 (freq.)",38000,347.9,1.8,0.987231870714871,10
"Choice set 100 (freq.)",38500,345,1.8,0.985684482782241,10
"Choice set 100 (freq.)",39000,342.4,1.9,0.984258693729931,10
"Choice set 100 (freq.)",39500,339.2,2,0.984925072878913,10
"Choice set 100 (freq.)",40000,337,2,0.987495739936363,10
"Choice set 100 (freq.)",40500,334.4,2.1,0.987335556961398,10
"Choice set 100 (freq.)",41000,331,2.1,0.986842051800599,10
"Choice set 100 (freq.)",41500,328.2,2.4,0.986415000097763,10
"Choice set 100 (freq.)",42000,324.2,2.4,0.987184929152205,10
"Choice set 100 (freq.)",42500,320,2.4,0.984514269701026,10
"Choice set 100 (freq.)",43000,317.1,2.5,0.987122730152419,10
"Choice set 100 (freq.)",43500,314.2,2.6,0.985343200198442,10
"Choice set 100 (freq.)",44000,311,2.7,0.986861719621357,10
"Choice set 100 (freq.)",44500,307.4,2.7,0.98723196871484,10
"Choice set 100 (freq.)",45000,304.3,2.8,0.986069151667283,10
