"sim","C","M","active","uniform","fam_context","dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","p99"
1,100,1000,"Active","Uniform","Random",1360,1824,2214,2534,2782,3048,3247,3428,3595,3745
2,100,1000,"Active","Uniform","Random",1427,1837,2235,2536,2776,2994,3214,3401,3590,3715
3,100,1000,"Active","Uniform","Random",1368,1863,2264,2562,2817,3035,3234,3444,3609,3747
4,100,1000,"Active","Uniform","Random",1395,1906,2268,2529,2785,3015,3227,3425,3597,3740
5,100,1000,"Active","Uniform","Random",1374,1833,2173,2471,2761,2995,3226,3419,3601,3733
6,100,1000,"Active","Uniform","Random",1392,1829,2238,2528,2811,3069,3297,3464,3619,3755
7,100,1000,"Active","Uniform","Random",1355,1809,2165,2481,2736,2989,3209,3386,3558,3702
8,100,1000,"Active","Uniform","Random",1351,1889,2248,2502,2809,3027,3233,3407,3583,3727
9,100,1000,"Active","Uniform","Random",1512,1917,2253,2520,2772,3013,3197,3389,3560,3711
10,100,1000,"Active","Uniform","Random",1381,1846,2185,2450,2700,2943,3164,3359,3537,3676
11,100,1000,"Active","Uniform","Random",1425,1917,2275,2559,2807,3020,3213,3407,3593,3729
12,100,1000,"Active","Uniform","Random",1360,1827,2204,2478,2757,2978,3207,3402,3565,3701
13,100,1000,"Active","Uniform","Random",1371,1874,2235,2484,2742,2975,3178,3378,3579,3718
14,100,1000,"Active","Uniform","Random",1407,1843,2222,2465,2735,2988,3194,3367,3536,3681
15,100,1000,"Active","Uniform","Random",1400,1871,2201,2499,2771,3002,3213,3403,3571,3724
1,100,1000,"Passive","Uniform","Random",1462,2023,2496,2900,3394,3951,4588,5394,6420,8966
2,100,1000,"Passive","Uniform","Random",1493,1940,2436,2928,3412,3846,4509,5299,6462,10188
3,100,1000,"Passive","Uniform","Random",1471,1968,2413,2906,3471,3965,4606,5447,6530,10451
4,100,1000,"Passive","Uniform","Random",1463,1929,2466,2864,3333,3834,4502,5258,6354,9270
5,100,1000,"Passive","Uniform","Random",1444,1972,2416,2832,3248,3706,4308,5088,6477,9932
6,100,1000,"Passive","Uniform","Random",1490,2012,2491,2960,3528,3962,4570,5295,6652,9812
7,100,1000,"Passive","Uniform","Random",1322,1903,2360,2788,3393,3981,4620,5306,6597,9956
8,100,1000,"Passive","Uniform","Random",1470,1961,2466,2889,3305,3823,4552,5287,6664,9571
9,100,1000,"Passive","Uniform","Random",1383,1998,2447,2841,3382,3808,4390,5202,6484,9200
10,100,1000,"Passive","Uniform","Random",1461,1950,2449,2924,3337,3851,4452,5208,6408,10294
11,100,1000,"Passive","Uniform","Random",1416,2015,2511,2913,3279,3883,4523,5318,6718,10562
12,100,1000,"Passive","Uniform","Random",1453,1982,2393,2881,3348,3876,4369,5144,6258,9481
13,100,1000,"Passive","Uniform","Random",1481,2006,2465,2927,3408,3932,4505,5271,6557,9749
14,100,1000,"Passive","Uniform","Random",1420,2009,2484,2883,3317,3906,4538,5267,6338,9795
15,100,1000,"Passive","Uniform","Random",1440,1940,2479,2895,3348,3869,4443,5135,6629,10197
1,100,1000,"Active","Zipfian","Random",131456,216579,282082,344842,402664,459737,520289,582539,639319,695623
2,100,1000,"Active","Zipfian","Random",130098,200834,272119,338546,394842,458566,519360,589105,656661,725058
3,100,1000,"Active","Zipfian","Random",133638,207540,272970,355097,421277,481071,550009,616699,677290,739243
4,100,1000,"Active","Zipfian","Random",128463,214771,269492,328290,393370,462852,532819,593853,654937,714293
5,100,1000,"Active","Zipfian","Random",105661,195906,266395,330877,383793,444416,514759,575669,632013,694393
6,100,1000,"Active","Zipfian","Random",143191,207902,280622,346848,404237,483483,536465,597130,664685,722023
7,100,1000,"Active","Zipfian","Random",128017,200293,271534,331992,399793,470942,539681,597270,665669,732841
8,100,1000,"Active","Zipfian","Random",112758,185653,266536,339585,390903,444061,501630,564455,633568,695143
9,100,1000,"Active","Zipfian","Random",130181,203379,261372,321445,374447,448776,501386,562991,631286,694842
10,100,1000,"Active","Zipfian","Random",128604,221009,287479,349730,412847,463200,521935,579731,649687,704743
11,100,1000,"Active","Zipfian","Random",121877,193718,268271,332525,395038,458395,527388,601742,672370,727343
12,100,1000,"Active","Zipfian","Random",123546,190724,255461,319096,375993,430231,489847,544135,609394,663688
13,100,1000,"Active","Zipfian","Random",115832,209946,280676,341676,405690,462578,520884,583727,663386,727994
14,100,1000,"Active","Zipfian","Random",122729,201982,272343,339838,403161,479211,532933,596854,658241,718293
15,100,1000,"Active","Zipfian","Random",118514,214088,289408,355472,425075,490266,567911,628582,692433,743134
1,100,1000,"Passive","Zipfian","Random",190576,398715,613024,912554,1250574,1648875,2263443,3076819,4930894,10967464
2,100,1000,"Passive","Zipfian","Random",197053,413908,634950,883692,1255896,1667543,2241300,3190753,4728212,10888860
3,100,1000,"Passive","Zipfian","Random",205616,388810,641531,979808,1337790,1775947,2545125,3393890,4850755,12033446
4,100,1000,"Passive","Zipfian","Random",179474,369713,604444,840182,1127506,1476128,2149487,3300540,4913426,10665033
5,100,1000,"Passive","Zipfian","Random",228795,416289,638843,900538,1245997,1588157,2192825,2979476,4499709,11997689
6,100,1000,"Passive","Zipfian","Random",178301,402464,628256,867587,1201701,1611792,2179108,3027457,4943341,10023214
7,100,1000,"Passive","Zipfian","Random",187959,407098,602406,872796,1205516,1606612,2183717,3132350,4850058,12638448
8,100,1000,"Passive","Zipfian","Random",186417,425321,671264,934989,1263701,1712983,2360001,3317718,4975716,13223785
9,100,1000,"Passive","Zipfian","Random",197315,378332,620341,881915,1174717,1629820,2338368,3221962,5261943,13184689
10,100,1000,"Passive","Zipfian","Random",190817,368290,585365,793166,1186808,1576301,2187982,3337011,5157510,12428330
11,100,1000,"Passive","Zipfian","Random",194220,385299,586026,881724,1270648,1650811,2193515,3004674,4899614,11747993
12,100,1000,"Passive","Zipfian","Random",205502,415767,622489,945637,1281608,1703735,2314596,3140920,4844846,11154321
13,100,1000,"Passive","Zipfian","Random",206846,384335,626458,874156,1162162,1535272,2040335,2911949,4753067,13206067
14,100,1000,"Passive","Zipfian","Random",194538,394994,618452,842556,1143104,1594695,2177796,3028561,4876318,10824742
15,100,1000,"Passive","Zipfian","Random",176368,367352,602016,869958,1169553,1606130,2263019,3238765,5083131,11294613
1,100,1000,"Active","Uniform","Familiar",1458,1866,2202,2509,2748,2965,3187,3366,3537,3675
2,100,1000,"Active","Uniform","Familiar",1373,1833,2191,2478,2770,3017,3216,3373,3542,3676
3,100,1000,"Active","Uniform","Familiar",1493,1875,2209,2486,2773,2986,3194,3370,3560,3687
4,100,1000,"Active","Uniform","Familiar",1416,1895,2266,2548,2807,3055,3256,3439,3602,3724
5,100,1000,"Active","Uniform","Familiar",1436,1920,2264,2541,2784,2987,3182,3373,3544,3679
6,100,1000,"Active","Uniform","Familiar",1449,1842,2181,2496,2760,2993,3204,3398,3570,3701
7,100,1000,"Active","Uniform","Familiar",1424,1893,2224,2511,2772,2995,3179,3389,3565,3710
8,100,1000,"Active","Uniform","Familiar",1364,1796,2162,2482,2741,2938,3141,3345,3517,3653
9,100,1000,"Active","Uniform","Familiar",1371,1821,2217,2482,2740,2956,3195,3383,3547,3687
10,100,1000,"Active","Uniform","Familiar",1390,1897,2219,2519,2792,2995,3224,3413,3562,3693
11,100,1000,"Active","Uniform","Familiar",1468,1870,2237,2511,2771,2980,3198,3377,3557,3688
12,100,1000,"Active","Uniform","Familiar",1366,1836,2185,2506,2738,2961,3172,3366,3535,3670
13,100,1000,"Active","Uniform","Familiar",1495,1951,2281,2598,2834,3052,3226,3417,3574,3714
14,100,1000,"Active","Uniform","Familiar",1398,1868,2222,2514,2767,2993,3195,3396,3554,3690
15,100,1000,"Active","Uniform","Familiar",1310,1851,2209,2508,2773,2987,3219,3400,3568,3713
1,100,1000,"Passive","Uniform","Familiar",1416,1918,2387,2894,3378,3909,4487,5253,6328,9440
2,100,1000,"Passive","Uniform","Familiar",1489,2005,2518,2943,3387,3850,4520,5195,6444,9735
3,100,1000,"Passive","Uniform","Familiar",1436,2044,2462,2913,3368,3978,4529,5279,6291,10334
4,100,1000,"Passive","Uniform","Familiar",1399,1976,2503,2953,3359,3886,4525,5232,6279,9581
5,100,1000,"Passive","Uniform","Familiar",1439,1991,2526,2972,3460,3963,4512,5219,6475,9698
6,100,1000,"Passive","Uniform","Familiar",1423,2040,2531,2929,3404,3939,4547,5283,6415,9479
7,100,1000,"Passive","Uniform","Familiar",1384,2019,2468,2903,3406,3864,4412,5141,6300,9595
8,100,1000,"Passive","Uniform","Familiar",1422,1976,2456,2940,3430,3924,4524,5271,6386,9669
9,100,1000,"Passive","Uniform","Familiar",1416,1973,2496,2975,3348,3928,4528,5221,6415,9612
10,100,1000,"Passive","Uniform","Familiar",1410,1906,2393,2900,3411,3848,4525,5174,6361,9898
11,100,1000,"Passive","Uniform","Familiar",1486,2009,2442,2809,3276,3862,4558,5331,6512,10020
12,100,1000,"Passive","Uniform","Familiar",1437,1992,2496,2966,3440,3978,4652,5253,6224,9234
13,100,1000,"Passive","Uniform","Familiar",1389,2003,2461,2865,3296,3779,4357,5112,6441,9464
14,100,1000,"Passive","Uniform","Familiar",1482,1915,2406,2867,3331,3843,4428,5156,6297,9426
15,100,1000,"Passive","Uniform","Familiar",1422,1948,2437,2871,3374,3841,4519,5180,6393,9155
1,100,1000,"Active","Zipfian","Familiar",4953,5886,6729,7242,7603,7902,8202,8471,8718,9054
2,100,1000,"Active","Zipfian","Familiar",4847,5995,6666,7115,7537,7873,8155,8409,8645,8987
3,100,1000,"Active","Zipfian","Familiar",5164,6284,6927,7439,7800,8149,8486,8741,8972,9326
4,100,1000,"Active","Zipfian","Familiar",4876,5999,6667,7114,7490,7830,8143,8362,8620,8932
5,100,1000,"Active","Zipfian","Familiar",5273,6459,7118,7605,8043,8352,8673,8954,9229,9540
6,100,1000,"Active","Zipfian","Familiar",4951,6002,6719,7295,7650,7981,8282,8544,8866,9176
7,100,1000,"Active","Zipfian","Familiar",4827,5745,6488,6985,7353,7683,8004,8252,8494,8863
8,100,1000,"Active","Zipfian","Familiar",4931,6101,6789,7342,7715,8096,8412,8650,8888,9212
9,100,1000,"Active","Zipfian","Familiar",4750,5841,6563,7025,7392,7804,8190,8436,8712,9045
10,100,1000,"Active","Zipfian","Familiar",5006,6190,6898,7423,7892,8228,8495,8829,9075,9375
11,100,1000,"Active","Zipfian","Familiar",4762,5844,6618,7017,7433,7813,8136,8411,8663,8969
12,100,1000,"Active","Zipfian","Familiar",4774,5886,6542,7016,7356,7679,7941,8192,8469,8826
13,100,1000,"Active","Zipfian","Familiar",4693,5767,6399,6884,7355,7696,8021,8296,8586,8902
14,100,1000,"Active","Zipfian","Familiar",5227,6223,6948,7477,7853,8208,8473,8727,8948,9319
15,100,1000,"Active","Zipfian","Familiar",4953,5957,6606,7103,7495,7816,8077,8329,8570,8868
1,100,1000,"Passive","Zipfian","Familiar",6982,10056,12556,14660,16883,19480,23780,28162,35887,79559
2,100,1000,"Passive","Zipfian","Familiar",6714,9696,11990,14102,18041,20731,24718,29813,37561,96272
3,100,1000,"Passive","Zipfian","Familiar",6838,9937,12544,15217,17483,19784,22866,27197,35339,97803
4,100,1000,"Passive","Zipfian","Familiar",7036,9647,12420,14904,17586,19926,23710,28225,37008,86831
5,100,1000,"Passive","Zipfian","Familiar",6918,10047,12603,14467,16995,19617,22431,25647,33476,76406
6,100,1000,"Passive","Zipfian","Familiar",6736,10022,12346,14474,16778,19509,22838,26702,36480,67848
7,100,1000,"Passive","Zipfian","Familiar",6800,10066,12167,14614,16847,19163,22071,26247,33256,79933
8,100,1000,"Passive","Zipfian","Familiar",7060,10010,12889,15167,17899,21259,24677,29154,36737,88237
9,100,1000,"Passive","Zipfian","Familiar",6859,9791,12459,15319,18386,21359,24355,29248,38848,73463
10,100,1000,"Passive","Zipfian","Familiar",6976,10073,12747,14838,16826,19672,22641,27047,35227,73300
