Reply: ,https://docs.google.com/document/d/1pSy5rxtuMSpcxJJrL2diFq7JEAxCze7Y/edit,,,,
Revision (main_revised.tex in the overleaf),https://www.overleaf.com/project/60522c3105aa4f1544d00640,,,,
Appeal letter,https://docs.google.com/document/d/1_LJo5B7VPh2Aj1TD0qADRUfSbewiyxYjSvosvBYT5Pg/edit,,,,
,,,,,
There are X major questions to address to answer to the reviewers.,,,,,
Questions,Our answer to it (in short),,,Notes,
Q1: Is the assumption in our model is realistic?,"""All models are wrong, but some are useful"" said by George Box. That is how exactly we consider our model. Our model in general may be realistic enough to predict exact number, but try to estimate what would happen for certain scenarios. That would give us a general insight on the relationship between child learning and its outcome.",,,https://en.wikipedia.org/wiki/All_models_are_wrong,
Q1-1: Is the vocabulary size assumed realistic?,"We can justify the vocabulary size (not its accuracy, but the order of magnitude). We should add some remark on that our theoretical analysis does not depend a particular choice of vocabulary size.",,,,
Q1-2: Is the passive learner model is realistic?,"We agree with that the passive learner in our scenario is parhaps overly simple and limited. And thus our discussion only apply this particular type of passive learner, and not any other kind of them.
So we refrain ourselves from rejecting a more general class of passive learner (we will revise some text, if it gives the reader such impression we reject all kinds of passive learners).",,,,
,,,,,
Q2: What is our main contribution in this paper?,"As Reviewer 2 wrote, without ""rejecting a particular kind of passive learner"", we can still discuss the technical merit of our estimation method. More importantly, with/ without reality of the passive learner, we can still claim some advantage of the active learner of our kind. In our analysis, the passive learner is one of possible ""control"" model to compare with the impact of active learner. So we should organize the contribution of this paper, and will not say anythin more than that. ",,,,
,,,,,
,journal candidates,"language, learning and development",open mind,languege development research,math psych
Task assignments,,,,,
,who in charge of initial drafting,Status,Done?,Note,
Short letter of appeal,GK,todo Sep 29th morning (JST),,,
Title,,,,,
Double check,,,,,
,,,,,
,,,,,
Reviewer 1,Irritating,,,,
Overall reply,SH,assigned,no,,
1) What are the real numbers?,GK,assigned,no,Q1-1,
2) Word learning changes dramatically.,GK,assigned,no,Q1-2,
3) Learning Rate vs. Sampling Rate.,SH,assigned,no,Q1-2,
4) Is each word learned independently?,SH,assigned,no,Q1-2,
5) Other assumptions of the model,SH,assigned,no,,
6) The active learner,SH,assigned,no,,
Substantive Concerns,,,,,
"• Page 3, 1st paragraph: the authors cite standard estimates from the MCDI to estimate the rate of word learning,",TT,assigned,no,,
"• Page 3, last paragraph: the authors seems to present an idealized (if not Panglossian) ",GK,assigned,no,,
• Page 7: I don’t understand how the fast-mapping model works.,GK,assigned,no,,
• Page 9: why assume a Zipf coefficient of 1?,TT,assigned,no,,
• Figure 2: what are the blue horizontal lines?,SH,assigned,no,,
• Figure 3: the bend in the curve is likely,SH,assigned,no,,
"• Page 12: I like the idea of an active learner (at least in some situations),",GK,assigned,no,,
• Page 12: similarly the rest of this discussion is heavy on the math and light on the explanation.,SH,assigned,no,,
,,,,,
Reviewer 2,Moderate,,,,
Overall reply,SH,assigned,no,,
1. There is some confusion throughout the manuscript around the concept of a referent frequency distribution.,SH/GK,assigned,no,Perhaps this confusion pointed out by Rev 2 is actually between SH and GK. or SH does not misunderstand Vogt paper.,
"2. Turning to a more technical point,",SH/TT,assigned,no,This require a bit of math thinking and perhaps a small numerical simulation.,
3. On p8 the author(s) seem to imply that a sample of ~700k words is reasonable for a human to attend to before reaching adulthood,SH,assigned,no,This corresponds with the Q1-2,
"4. I like the application of the model to the the CHILDES corpus, but",SH,assigned,no,,
5. The model of active learning is an interesting and worthwhile,TT,assigned,no,,
"6. To explore the benefit of active learning,",GK/SH,assigned,no,,
"7. The author(s) wisely don't make any grand claims about the relevance of their specific active learning algorithm to actual word-learning by children,",GK,assigned,no,,
,,,,,
Reviewer 3,Preferable,,,,
Overall reply,GK,assigned,no,,
1. In general I wasn't sure why the focus in the introduction was on cross-situational learning,GK/SH,assigned,no,This is related to Reviewer 2's point 1.,
"2. In the intro (end of page 4, most of page 5) you talk about the kinds of assumptions that are made in the model about the frequency distribution over target words (e.g. how often is each word encountered by a learner?) and referents",GK/SH,assigned,no,This is related to Reviewer 2's point 1.,
"3. I am worried about what constitute ""reasonable"" or ""unreasonable"" estimates of lexicon learning time.",GK,assigned,no,Q1-1,
"4. In the empirical dataset section on page 10, I'd be worried that a relatively small corpus might under-estimate the frequency of the low-frequency words through minority under-sampling, which is consistent with the fact that your estimates from CHILDES are an order of magnitude worse than Zipfian (I think);",SH,assigned,no,,
"5. In the empirical evaluation section on page 12, I need *way* more details on the SUN database ",TT,assigned,no,,
"6. More generally, I found the explanation of your approach to be a bit too terse, and this really started to bite when you get to the active learning model on page 11 and (particularly) the incremental one on page 13.",SH/GK,assigned,no,,
"7. In the same vein as point 3 above, I was a bit puzzled by the fact that there's such a huge mismatch between the speedup you get from the idealised active learning model on the SUN corpus (whatever it was), with active learning being 235 times faster,",SH,assigned,no,,
8. It might be worth mentioning a couple of other results that relate to the problems posed by Zipfian distributions,GK/SH,assigned,no,,
